start,end,today,a7,a7b,a7c,a7_check,a7d,return,which_pass,tour2_approve,code,title_tmt,title_grp,street_check,age_r,sex_r,person_check2,avail,x4,x5,x6,s1_prop_check,visit,avail_b,x4_b,x5_b,x6_b,hh_head_present,identity_check_head,sex_head,age_head,appt_head1,appt_head2,no_appt_head1,no_appt_head2,campaign2,campaign3,documents0_other,documents_other,documents_dk,visit_interest,novisit_why,novisit_why_other,rand,p_acte_a,p_acte_b,p_acte_c,p_contrat_a,p_contrat_b,p_contrat_c,p_ce_a,p_ce_b,p_ce_c,p_prop_a,p_prop_b,p_prop_c,visit_next_c,campaign_visit,campaign_doc,campaign_no,reasons_why_no_title,campaign_yes_meeting1,campaign_yes_meeting3_day,campaign_yes_meeting3_time,consent6,appt_date,appt_time,appt_note,status,sex,age,edu,edu2,job1,job1_other,job2,job2_other,work_gov1,work_gov2_1,work_gov2_11,work_gov2_other,work_gov3,work_gov4_1,work_gov4_2,work_gov4_3,work_gov4_4,work_gov4_5,work_gov4_6,work_gov4_7,work_gov4_8,work_gov4_9,work_gov4_10,work_gov4_11,work_gov4_other,tribe_new,tribe_o_new,subtribe,subtribe_o,kga_born,kga_move,kga_mig1,kga_mig2,ave_born,ave_move,kga_mig3,kga_mig4,elect1,elect3,elect4,elect5,elect6_new,elect8,elect9,inc_mo,transport,possessions_1,possessions_2,possessions_3,possessions_4,possessions_5,possessions_6,possessions_0,hh_size,renters_b,bornes,bornes_nb,bornes_check,secur,documents_1,documents_2,documents_3,documents_4,documents_5,documents_6,documents_7,documents_8,documents_0,documents_8888,documents_9999,parquet,formal_benef1,formal_benef2,formal_benef3,jealous,number,spend1_a,spend1_b,spend2,spend3,wed_fun,church,ristourne,social1,social2,formal3,formal4,formal5,formal6,bus1,bus2,mutuality,civic7,civic8_1,civic8_2,civic8_3,civic8_4,civic8_5,civic8_6,civic8_other,security,obedience,reciprocity,altruism,access1,access2,access3,access4,access5,access6,access7,access8,access9,access10,satisfied1,satisfied2,satisfied3,satisfied4,satisfied5,satisfied6,satisfied7,satisfied8,satisfied9,satisfied10,provides1,provides2,provides3,provides4,provides5,provides6,provides7,provides8,provides9,provides10,provide1,provide1_other_new,provide1_other,provide2,provide2_other_new,provide2_other,provide3,provide3_other_new,provide3_other,provide4,provide4_other_new,provide4_other,provide5,provide5_other_new,provide5_other,provide6,provide6_other_new,provide6_other,provide7,provide7_other_new,provide7_other,state_cap1,state_cap2,rand0,pubgoods1,pubgoods1_2,trust2,trust8,trust4,trust5,trust6,trust7,conflict1,conflict2,conflict3,conflict4,conflict5,conflict6,participation1,participation2,participation3,pol4,pol6,pol10,know1,gov_resp,corr14_end,demand1,demand2,demand3,demand4,demand5,demand2_b,demand3_b,demand4_b,demand5_b,chef_int1,chef,chef0,chef1,chef2,chef3,chef4,chef5,chef6,chef8,chef9,chef11,chef12,chef_eval,chef_corr1,chef_corr2,tax1,tax2,tax11,tax12,tax13,tax15,tax15_other,tax14,paid2017_2,paid2017_3,paid2017_4_new,paid2017_4_other_new,paid2017_5,paid2017_6_new,paid2017_7,paid2017_8,paid2017_8_other,paid2017_9_new,tax17,tax18,morale,punish,tax27,tax27c,tax27c_other,tax28,tax29,tax30,tax30_other,tax32,tax33,corr7_end,corr8_end,tax42,tax43,pay_gov1_2,pay_gov1_3,pay_gov1_5,pay_gov1_14,pay_gov1_7,pay_gov1_15,pay_gov1_10,pay_gov1_1,pay_gov1_17,pay_gov1_6,pay_gov1_0,pay_gov2_4,pay_gov2_8,pay_gov2_11,pay_gov2_12,pay_gov2_13,pay_gov2_16,pay_gov2_0,pay_gov1_other,pay_gov2_other,pay_tot,o_pay2,o_pay3,pay_tot2,gov1_end,gov2_end,move1,move2,move3,nsapu2,metainstanceid,key,search,campaign_yes_meeting3,photo_head,road_qual,fence,walls_other,ravine,lang,photo,hh_photo,work_gov2_2,work_gov2_3,work_gov2_4,work_gov2_5,work_gov2_6,work_gov2_7,work_gov2_8,work_gov2_9,work_gov2_10,documents0_1,documents0_2,documents0_3,documents0_4,documents0_5,documents0_6,documents0_7,documents0_8,documents0_0,documents0_8888,documents0_9999,any_docs,erreur_frappe,erreur_poly,erreur_code,tot_complete,s3_poly,temp_repeat,missing_instance_flag,tmp_code,max_code_end,trust_all,poly_from_code,erreur_poly_unresolved,dup_code,s1_chef_check,tribe,tribe_o,elect6,paid2017_4,paid2017_4_other,paid2017_9,pay_gov,survey3,title_grp_label,intro3,intro5,subtribe_o_new,provide3_new,spend1,visit_interest2,possessions_7,possessions_8,possessions_9,possessions_10,possessions_11,round,compound_code,move_endline,move_when_endline,compound_code2,compound_code_prev,most_recent,problem_flag1,problem_flag2,problem_flag3,problem_flag4,walls,roof,roof2,morale_old,possessions,morale_final
2017-07-21 17:03:20,,2017-07-21,,,.,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47305244,,,,,,,,,,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,.,,,.,,,.,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:402d9bf9-e390-4f67-9678-8c6df0305ae5,uuid:402d9bf9-e390-4f67-9678-8c6df0305ae5,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,,,.,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-25 10:56:18,,2017-07-25,,,.,,.,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42156965,,,,,,,,,,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,.,,.,,.,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,.,,,.,,,.,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,.,,.,,,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:b94379d9-2576-452a-b62d-bf805078a20a,uuid:b94379d9-2576-452a-b62d-bf805078a20a,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,,,.,,,,,,,,,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-04 18:43:20,,2017-07-04,,,,,.,,,,0.33,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,1.0,,,0.60612714,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,.,,.,,,,,,,,,,,,,.,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,.,,,.,,,.,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,.,,.,,,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,.,,,,,,,,,,,uuid:f0d15180-2ee1-4f21-bfa1-ffa852611c30,uuid:f0d15180-2ee1-4f21-bfa1-ffa852611c30,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,,.,.,,,,,,,,,,.,.,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2017-07-13 13:18:59,,2017-07-13,,,.,,.,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8136835,,,,,,,,,,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,.,,,.,,,.,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:0d946c58-fe6d-4785-9c13-95d22af123db,uuid:0d946c58-fe6d-4785-9c13-95d22af123db,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-12 15:35:13,,2017-09-12,,,.,,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,.,,,.,,,.,,,.,,,.,,,.,,,0.11422615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:d56ecbc7-1198-4ee0-8d7d-28097f43f947,uuid:d56ecbc7-1198-4ee0-8d7d-28097f43f947,,,.,,,.,,,.,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-14 10:00:33,,2017-09-14,,,.,,,,,,0.72,0.0,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,1.0,.,.,0.70523715,,,,,,,,,,,,,,,,,.,,,,,.,.,.,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,.,,,.,,,.,,,.,,,.,,,.,,,0.8300926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,.,,,,.,.,,.,,,.,,,,,,,,,,,.,.,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,,uuid:061b4dff-2cc9-4508-9687-e26fb1f71698,uuid:061b4dff-2cc9-4508-9687-e26fb1f71698,,,.,,,.,,,.,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-09 16:23:52,,2017-10-09,,,.,,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,.,.,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,.,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,.,,,.,,,.,,,.,,,.,,,.,,,0.33703467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,.,,.,,,.,.,,,,,,,,,,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:7798d515-25a7-4664-bf57-6d893af68947,uuid:7798d515-25a7-4664-bf57-6d893af68947,,,.,,,.,,,.,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-10 08:31:49,,2017-10-10,,,.,,,,,,0.74,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,.,.,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,.,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,.,,,.,,,.,,,.,,,.,,,.,,,0.7683587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,.,,.,,,.,.,,,,,,,,,,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:f969647c-42d0-40e3-b5d4-44c4ce8d7219,uuid:f969647c-42d0-40e3-b5d4-44c4ce8d7219,,,.,,,.,,,.,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-10 14:43:40,,2017-10-10,,,.,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,.,.,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,.,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,.,,,.,,,.,,,.,,,.,,,.,,,0.060694832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,.,,.,,,.,.,,,,,,,,,,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:23a90b45-dbf4-42c0-9018-b089f1af8191,uuid:23a90b45-dbf4-42c0-9018-b089f1af8191,,,.,,,.,,,.,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-16 07:25:00,,2017-10-16,,,.,,,1.0,,,0.76,,,,,,1.0,,,,,,,,,.,,,,,,,.,,,,,,,,,.,.,,,,,,,,,,,,,,,,,,,,,,,.,.,.,,,,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,.,.,,.,,,,,,,,,,,,,.,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,.,,,.,,,.,,,.,,,.,,,.,,,0.472791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,.,,,,.,.,,.,,,.,.,,,,,,,.,,,.,.,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,.,,,,,,,,,,,,uuid:9adb1a3f-556b-4475-b969-d54b9e7261a1,uuid:9adb1a3f-556b-4475-b969-d54b9e7261a1,,,.,,,.,,,.,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,,,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
