a7,tot_compounds,tot_s1_repeats,target_surveys,prob,skip,Ordre,today,DateTerminée,Obs,program,nganza,num_poly
100.0,199,2,6.0,0.030150754,10.0,8.0,2016-09-08,,,0.0,0.0,1.0
101.0,195,4,5.0,0.025641026,10.0,18.0,2016-10-29,,,0.0,0.0,1.0
102.0,62,4,5.0,0.08064516,3.0,4.0,2016-08-12,,,0.0,0.0,1.0
103.0,175,3,5.0,0.028571429,9.0,11.0,2016-07-29,,,0.0,0.0,1.0
104.0,62,5,5.0,0.08064516,3.0,6.0,2016-08-19,,,0.0,0.0,1.0
105.0,176,4,5.0,0.028409092,9.0,24.0,2016-11-18,,,1.0,0.0,1.0
106.0,167,3,5.0,0.029940119,8.0,17.0,2016-10-22,,,0.0,0.0,1.0
107.0,156,4,5.0,0.032051284,8.0,14.0,2016-10-05,,,1.0,0.0,1.0
108.0,75,0,8.0,0.10666667,4.0,12.0,2016-08-10,,,0.0,0.0,1.0
109.0,127,3,5.0,0.03937008,6.0,8.0,2016-06-29,,,1.0,0.0,1.0
110.0,118,3,5.0,0.042372882,6.0,20.0,2016-11-14,,,1.0,0.0,1.0
111.0,236,5,5.0,0.021186441,12.0,1.0,2016-05-23,,,1.0,0.0,1.0
112.0,213,4,5.0,0.02347418,11.0,3.0,2016-07-06,,,1.0,0.0,1.0
113.0,186,4,5.0,0.02688172,9.0,16.0,2016-10-22,,,1.0,0.0,1.0
114.0,128,3,5.0,0.0390625,6.0,7.0,2016-08-27,,,0.0,0.0,1.0
115.0,103,3,5.0,0.048543688,5.0,17.0,2016-09-08,,,1.0,0.0,1.0
116.0,156,5,5.0,0.032051284,8.0,18.0,2016-11-04,,,1.0,0.0,1.0
117.0,132,4,5.0,0.03787879,7.0,16.0,2016-11-02,,,1.0,0.0,1.0
118.0,159,3,5.0,0.031446543,8.0,17.0,2016-11-05,,,0.0,0.0,1.0
119.0,93,4,5.0,0.05376344,5.0,14.0,2016-11-03,,,1.0,0.0,1.0
120.0,101,4,5.0,0.04950495,5.0,9.0,2016-07-25,,,0.0,0.0,1.0
121.0,103,4,5.0,0.048543688,5.0,13.0,2016-08-11,,,1.0,0.0,1.0
122.0,60,3,5.0,0.083333336,3.0,5.0,2016-08-18,,,1.0,0.0,1.0
123.0,156,4,5.0,0.032051284,8.0,17.0,2016-10-27,,,0.0,0.0,1.0
124.0,180,4,5.0,0.027777778,9.0,8.0,2016-07-23,,,0.0,0.0,1.0
125.0,59,3,5.0,0.084745765,3.0,3.0,2016-07-14,,,1.0,0.0,1.0
126.0,283,4,5.0,0.017667845,14.0,25.0,2016-12-01,,,1.0,0.0,1.0
200.0,269,4,5.0,0.01858736,13.0,11.0,2016-09-14,,,1.0,0.0,1.0
201.0,95,4,5.0,0.05263158,5.0,1.0,2016-05-24,,,1.0,0.0,1.0
202.0,224,4,5.0,0.02232143,11.0,3.0,2016-07-13,,,1.0,0.0,1.0
203.0,116,1,7.0,0.060344826,6.0,3.0,2016-09-05,,,0.0,0.0,1.0
204.0,153,2,6.0,0.039215688,8.0,10.0,2016-09-02,,,1.0,0.0,1.0
205.0,98,1,7.0,0.071428575,5.0,5.0,2016-07-15,,,0.0,0.0,1.0
206.0,93,5,5.0,0.05376344,5.0,1.0,2016-06-10,,,1.0,0.0,1.0
207.0,235,3,5.0,0.021276595,12.0,15.0,2016-10-10,,,1.0,0.0,1.0
208.0,161,3,5.0,0.031055901,8.0,24.0,2016-11-22,,,1.0,0.0,1.0
209.0,70,4,5.0,0.071428575,4.0,6.0,2016-08-06,,,0.0,0.0,1.0
210.0,109,2,6.0,0.055045873,5.0,23.0,2016-11-30,,,1.0,0.0,1.0
211.0,143,3,5.0,0.034965035,7.0,5.0,2016-07-21,,,1.0,0.0,1.0
212.0,112,2,6.0,0.05357143,6.0,1.0,2016-06-24,,,1.0,0.0,1.0
213.0,202,1,7.0,0.034653466,10.0,2.0,2016-06-07,,,0.0,0.0,1.0
214.0,258,3,5.0,0.019379845,13.0,15.0,2016-10-22,,,0.0,0.0,1.0
215.0,135,4,5.0,0.037037037,7.0,23.0,2016-11-22,,,1.0,0.0,1.0
216.0,258,3,5.0,0.019379845,13.0,16.0,2016-11-07,,,1.0,0.0,1.0
217.0,254,2,6.0,0.023622047,13.0,4.0,2016-09-09,,,1.0,0.0,1.0
218.0,117,1,7.0,0.05982906,6.0,8.0,2016-08-16,,,0.0,0.0,1.0
219.0,104,1,7.0,0.067307696,5.0,5.0,2016-06-18,,,0.0,0.0,1.0
220.0,145,3,5.0,0.03448276,7.0,2.0,2016-05-27,,,1.0,0.0,1.0
221.0,129,4,5.0,0.03875969,6.0,4.0,2016-07-16,,,0.0,0.0,1.0
