Month,Tmt,a7,multipoly,days_carto_2poly,days_collection_2poly,days_consult,days_all_2poly,days_carto_1poly,days_collect_1poly,days_consult_1poly,days_all_1poly,col_code_1,col_type_1,chief_code1,col_code_2,col_type_2,chief_code2,col1_today,col1_key,col1_start,col1_end,col1_a3,col1_a4,col1_chef_code2,col1_chefcheck,col1_asstcheck,col1_code,col1_code2,col1_y3,col1_consent7,col1_y7,col1_tribe,col1_tribe_o,col1_subtribe,col1_subtribe_o,col1_religion,col1_religion_other,col1_born_kga,col1_move_kga,col1_commune,col1_quartier,col1_y34a,col1_y34b,col1_y34,col1_y35,col1_y36,col1_occupation,col1_occupation_other,col1_what_otheract,col1_what_otheract_other,col1_inc_mo,col1_inc_wk,col1_possessions,col1_hh_size,col1_y9,col1_y10,col1_c10,col1_c11,col1_c12,col1_c13,col1_c14,col1_tshilup,col1_read3,col1_read4,col1_frenchp,col1_read6,col1_read7,col1_type_start,col1_type_end,col1_red_ngo,col1_red_state,col1_red_poor,col1_red_if,col1_red_prog,col1_tax_who1,col1_tax_who2,col1_tax_who3,col1_tax_who4,col1_tax_who5,col1_tax_who6,col1_tax_who7,col1_provide1,col1_provide1_other,col1_provide2,col1_provide2_other,col1_provide3,col1_provide3_other,col1_provide4,col1_provide4_other,col1_provide5,col1_provide5_other,col1_provide6,col1_provide6_other,col1_provide7,col1_provide7_other,col1_state_cap1,col1_state_cap2,col1_trust2,col1_trust4,col1_trust5,col1_trust6,col1_trust7,col1_gov_resp,col1_corr14_end,col1_b1,col1_b2,col1_b3,col1_gov1_end,col1_gov2_end,col1_wtp_1500,col1_wtp_2000,col1_wtp_2500,col1_wtp_3000,col1_job,col1_job_other,col1_years,col1_months,col1_position,col1_position_other,col1_fam_dgrkoc,col1_fam_dgrkoc_who,col1_fam_dgrkoc_who_other,col1_fam_gov,col1_fam_gov_who,col1_fam_gov_who_other,col1_connection,col1_connection_other,col1_beep1,col1_beep1_other,col1_beep2,col1_beep2_other,col1_z18,col1_lang2,col1_metainstanceid,col1_codecheck,col1_assist_chef_know,col1_assist_chef_know_other,col1_assist_chef_yrs,col1_assist_chef_live,col1_chef_assist_know,col1_chef_assist_know_other,col1_chef_assist_yrs,col1_chef_assist_life,col1_available,col1_replace,col1_reason_replace,col1_replaced_code,col1_replaced_code2,col1_codecheck_replace,col1_date,col1_date_f,col1_type,col1_short_label,col1_value_label,col1_keep,col1_labelEnglish,col1_tot_complete,col1_colcode,col1_colcode_chef,col1_colcode_assis,col1_dup_code,col1_dup_chefcode,col1_replace_assis,col1_dup_assis,col1_d1,col1_d2,col1_d3,col1_d4,col1_d5,col1_d6,col1_d7,col1_d8,col1_d9,col1_d10,col1_d11,col1_d12,col1_flag_WTP,col1_grade,col1_campaign_time,dup,col2_today,col2_key,col2_start,col2_end,col2_a3,col2_a4,col2_chef_code2,col2_chefcheck,col2_asstcheck,col2_code,col2_code2,col2_y3,col2_consent7,col2_y7,col2_tribe,col2_tribe_o,col2_subtribe,col2_subtribe_o,col2_religion,col2_religion_other,col2_born_kga,col2_move_kga,col2_commune,col2_quartier,col2_y34a,col2_y34b,col2_y34,col2_y35,col2_y36,col2_occupation,col2_occupation_other,col2_what_otheract,col2_what_otheract_other,col2_inc_mo,col2_inc_wk,col2_possessions,col2_hh_size,col2_y9,col2_y10,col2_c10,col2_c11,col2_c12,col2_c13,col2_c14,col2_tshilup,col2_read3,col2_read4,col2_frenchp,col2_read6,col2_read7,col2_type_start,col2_type_end,col2_red_ngo,col2_red_state,col2_red_poor,col2_red_if,col2_red_prog,col2_tax_who1,col2_tax_who2,col2_tax_who3,col2_tax_who4,col2_tax_who5,col2_tax_who6,col2_tax_who7,col2_provide1,col2_provide1_other,col2_provide2,col2_provide2_other,col2_provide3,col2_provide3_other,col2_provide4,col2_provide4_other,col2_provide5,col2_provide5_other,col2_provide6,col2_provide6_other,col2_provide7,col2_provide7_other,col2_state_cap1,col2_state_cap2,col2_trust2,col2_trust4,col2_trust5,col2_trust6,col2_trust7,col2_gov_resp,col2_corr14_end,col2_b1,col2_b2,col2_b3,col2_gov1_end,col2_gov2_end,col2_wtp_1500,col2_wtp_2000,col2_wtp_2500,col2_wtp_3000,col2_job,col2_job_other,col2_years,col2_months,col2_position,col2_position_other,col2_fam_dgrkoc,col2_fam_dgrkoc_who,col2_fam_dgrkoc_who_other,col2_fam_gov,col2_fam_gov_who,col2_fam_gov_who_other,col2_connection,col2_connection_other,col2_beep1,col2_beep1_other,col2_beep2,col2_beep2_other,col2_z18,col2_lang2,col2_metainstanceid,col2_codecheck,col2_assist_chef_know,col2_assist_chef_know_other,col2_assist_chef_yrs,col2_assist_chef_live,col2_chef_assist_know,col2_chef_assist_know_other,col2_chef_assist_yrs,col2_chef_assist_life,col2_available,col2_replace,col2_reason_replace,col2_replaced_code,col2_replaced_code2,col2_codecheck_replace,col2_date,col2_date_f,col2_type,col2_short_label,col2_value_label,col2_keep,col2_labelEnglish,col2_tot_complete,col2_colcode,col2_colcode_chef,col2_colcode_assis,col2_dup_code,col2_dup_chefcode,col2_replace_assis,col2_dup_assis,col2_d1,col2_d2,col2_d3,col2_d4,col2_d5,col2_d6,col2_d7,col2_d8,col2_d9,col2_d10,col2_d11,col2_d12,col2_flag_WTP,col2_grade,col2_campaign_time
0,1,200,,,,,,,,,,91.0,1,,40.0,1,,2018-05-21,uuid:42ce0977-0346-4443-921c-d937e4a038c0,2018-05-21 13:56:28,2018-05-21 14:34:52,"May 21, 2018",1:58:00 PM,,,,112.0,112.0,1.0,1.0,26.0,BINDI,.,,,1,,0.0,2008.0,Kananga,Malandji,1.0,,4.0,,KAZUMBA,4,,.,.,300000.0,32000.0,1 3 4,2.0,4.0,5.0,OK,1.0,0.0,0.0,1.0,OK,2.0,2.0,OK,2.0,2.0,13:56:29,13:56:29,3.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1,,8.0,,1.0,,1,,4,,1.0,,1,,0.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,800.0,200.0,9.0,7.0,6.0,5.0,0,,3.0,3.0,2,,0.0,,,1.0,3,,6,,1,.,1,.,0,1.0,uuid:42ce0977-0346-4443-921c-d937e4a038c0,,,,,,,,,,1.0,,,,,,29 Apr 2019,2019-04-29,,,,,,1.0,91.0,,,,,,,,,,,,,,,,,,,,N.U.,0.0,0.0,2018-04-09,uuid:aec0d3d4-6f39-4538-aedf-450445470e96,2018-04-09 13:43:16,2018-04-09 14:25:04,"Apr 9, 2018",1:43:00 PM,,,,67.0,67.0,1.0,1.0,44.0,LULUWA,,,Bakua mbayi,3,,1.0,,Katoka,Kele kele,1.0,,4.0,,DEMBA,17,,,,200000.0,35000.0,4,4.0,4.0,3.0,OK,1.0,1.0,1.0,1.0,OK,1.0,1.0,OK,1.0,1.0,13:43:17,13:43:17,4.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,4.0,1,,1.0,,1.0,,1,,1,,1.0,,1,,0.0,4.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,1000.0,0.0,10.0,6.0,5.0,4.0,0,,10.0,0.0,3,,0.0,.,.,0.0,.,.,4,,1,.,1,.,0,1.0,uuid:aec0d3d4-6f39-4538-aedf-450445470e96,,,,,,.,,,,2.0,,,,,,29 Apr 2019,2019-04-29,,,,,,1.0,40.0,,,,,,,,,,,,,,,,,,,,N.U.,0.0
0,1,202,,,,,,,,,,69.0,1,,55.0,1,,2018-04-18,uuid:0dbb765c-4f1f-4f8d-9e51-592e28c1129b,2018-04-18 14:18:31,,"Apr 18, 2018",2:36:00 PM,,,,58.0,58.0,1.0,1.0,54.0,LUALUA,.,,,other,Universelle,1.0,,Katoka,Kapanda,1.0,,4.0,,KAZUMBA,4,,.,.,200000.0,50000.0,1 3 4 6,4.0,4.0,3.0,OK,1.0,1.0,1.0,1.0,OK,1.0,1.0,OK,1.0,1.0,14:22:37,14:22:37,4.0,4.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2,,2.0,,2.0,,2,,8,,2.0,,2,,0.0,4.0,2.0,3.0,3.0,3.0,3.0,1.0,4.0,2.0,1.0,2.0,300.0,700.0,7.0,6.0,5.0,4.0,0,,4.0,0.0,1,,0.0,,,0.0,,,2,,1,.,1,.,0,1.0,uuid:0dbb765c-4f1f-4f8d-9e51-592e28c1129b,,,,,,,,,,2.0,,,,,,29 Apr 2019,2019-04-29,,,,,,1.0,69.0,,,,,,,,,,,,,,,,,,,,N.U.,0.0,0.0,2018-04-11,uuid:e4d1925a-67fc-4ce6-a834-24f3e73f41ee,2018-04-11 16:55:43,2018-04-11 17:27:22,"Apr 11, 2018",4:55:00 PM,,,,51.0,51.0,1.0,1.0,29.0,LUALUA,,,,3,,1.0,,Katoka,Mpokolo,1.0,,4.0,,DEMBA,30,,,,100000.0,40000.0,0,0.0,4.0,5.0,OK,1.0,1.0,0.0,0.0,OK,1.0,1.0,OK,1.0,1.0,16:55:45,16:55:45,3.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,4.0,8,,3.0,,7.0,,2,,1,,2.0,,2,,1.0,,1.0,1.0,3.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,500.0,500.0,10.0,8.0,5.0,3.0,0,,3.0,3.0,3,,0.0,.,.,0.0,.,.,4,,1,.,1,.,0,1.0,uuid:e4d1925a-67fc-4ce6-a834-24f3e73f41ee,,,,,,.,,,,1.0,,,,,,29 Apr 2019,2019-04-29,,,,,,1.0,55.0,,,,,,,,,,,,,,,,,,,,N.U.,0.0
0,1,203,,,,,,,,,,47.0,1,,13.0,1,,2018-04-10,uuid:4942c4c4-3b67-43bf-bc9e-29de8c2ed36a,2018-04-10 12:00:15,2018-04-10 12:45:42,"Apr 10, 2018",12:00:00 PM,,,,32.0,32.0,1.0,1.0,26.0,LUALUA,,,,3,,1.0,,Kananga,Industrielle,1.0,,4.0,,KAZUMBA,27,,,,120000.0,30000.0,3 4 5,5.0,4.0,5.0,OK,1.0,1.0,0.0,0.0,OK,2.0,2.0,OK,1.0,1.0,12:00:17,12:00:17,3.0,4.0,4.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2,,1.0,,4.0,,2,,2,,2.0,,2,,1.0,,3.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,300.0,700.0,8.0,5.0,3.0,2.0,0,,0.0,3.0,1,,0.0,.,.,0.0,.,.,other,Un frère qui n'est pas de mon église,1,.,1,.,Une personne honnête.,1.0,uuid:4942c4c4-3b67-43bf-bc9e-29de8c2ed36a,,,,,,.,,,,2.0,,,,,,29 Apr 2019,2019-04-29,,,,,,1.0,47.0,,,,,,,,,,,,,,,,,,,,N.U.,0.0,0.0,2018-04-06,uuid:34057916-aa69-453d-9561-e96e7822c8ac,2018-04-06 16:02:16,2018-04-06 16:33:56,"Apr 6, 2018",4:02:00 PM,,,,30.0,30.0,1.0,1.0,26.0,LUBA,,,Bena muya,12,,1.0,,Kananga,Tshinsambi,1.0,,5.0,,KABEYA-KAMWANGA,17,,,,50000.0,27000.0,3 4,4.0,4.0,3.0,OK,1.0,1.0,1.0,1.0,OK,2.0,2.0,OK,1.0,1.0,16:02:17,16:02:17,3.0,4.0,3.0,3.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,1,,2.0,,2.0,,2,,2,,1.0,,2,,1.0,,2.0,3.0,3.0,2.0,2.0,1.0,4.0,1.0,2.0,3.0,600.0,400.0,8.0,5.0,3.0,1.0,0,,2.0,3.0,4,,0.0,.,.,0.0,.,.,9999,,1,.,1,.,0,1.0,uuid:34057916-aa69-453d-9561-e96e7822c8ac,,,,,,.,,,,1.0,,,,,,29 Apr 2019,2019-04-29,,,,,,1.0,13.0,,,,,,,,,,,,,,,,,,,,N.U.,0.0
0,2,201,,,,,,,,,,742.0,2,20145.0,1142.0,3,,2019-03-25,uuid:71000d94-f949-4f7d-841d-70fcd6d351c3,2019-03-25 11:16:23,2019-03-25 11:31:47,"Mar 25, 2019",11:16:00 AM,2012.0,1.0,,,,,1.0,,,.,,,,,,,,,,,,,,,,,,,,,,,,OK,1.0,1.0,1.0,1.0,OK,2.0,3.0,OK,1.0,2.0,.,.,2.0,5.0,3.0,4.0,2.0,,,,,,,,.,,,,,,.,,.,,,,,,,,,,,,,,,3.0,2.0,2.0,800.0,200.0,6.0,5.0,4.0,3.0,,,,,.,.,,.,.,,.,.,,,1,,,,0,2.0,uuid:71000d94-f949-4f7d-841d-70fcd6d351c3,,,,,,,,,,,,,,,,29 Apr 2019,2019-04-29,,,,,,1.0,742.0,742.0,1142.0,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,207,,,,,,,,,,737.0,2,20798.0,1137.0,3,,2019-03-23,uuid:c4de8de8-bfe1-4bd7-b5ce-9d10d334617f,2019-03-23 09:47:30,2019-03-23 10:22:28,"Mar 23, 2019",9:47:00 AM,20798.0,1.0,,,,,1.0,,,.,,,,,,,,,,,,,,,,,,,,,,,,OK,1.0,1.0,0.0,1.0,OK,1.0,2.0,OK,2.0,2.0,.,.,5.0,3.0,3.0,2.0,2.0,,,,,,,,.,,,,,,.,,.,,,,,,,,,,,,,,,2.0,2.0,1.0,700.0,300.0,10.0,6.0,5.0,3.0,,,,,.,.,,.,.,,.,.,,,1,,,,0,2.0,uuid:c4de8de8-bfe1-4bd7-b5ce-9d10d334617f,,,,,,,,,,,,,,,,29 Apr 2019,2019-04-29,,,,,,1.0,737.0,737.0,1137.0,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,210,,,,,,,,,,719.0,2,21086.0,1119.0,3,,2019-03-18,uuid:ebeaf580-20d8-4140-9883-dc7c8e448dc0,2019-03-18 13:15:14,2019-03-18 13:46:02,"Mar 18, 2019",1:15:00 PM,21086.0,1.0,,,,,1.0,,,.,,,,,,,,,,,,,,,,,,,,,,,,OK,1.0,1.0,1.0,1.0,OK,1.0,1.0,OK,1.0,1.0,.,.,3.0,3.0,3.0,3.0,2.0,,,,,,,,.,,,,,,.,,.,,,,,,,,,,,,,,,2.0,2.0,1.0,500.0,500.0,9.0,6.0,5.0,4.0,,,,,.,.,,.,.,,.,.,,,6,,6,,0,2.0,uuid:ebeaf580-20d8-4140-9883-dc7c8e448dc0,,,,,,,,,,,,,,,,29 Apr 2019,2019-04-29,,,,,,1.0,719.0,719.0,1119.0,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,2019-03-16,uuid:746d6660-5df4-4964-811e-42103e0db637,2019-03-16 10:33:07,2019-03-16 11:10:03,"Mar 16, 2019",10:33:00 AM,21086.0,,1.0,,,1.0,1.0,62.0,LULUWA,.,37.0,,1,,0.0,1958.0,Ndesha,Ndesha,1.0,,4.0,,DEMBA,other,Retraité de l'Unibra,,,160000.0,20000.0,1 3 4 5,4.0,4.0,2.0,OK,1.0,1.0,1.0,1.0,OK,1.0,1.0,OK,1.0,1.0,.,.,4.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,4.0,1,,2.0,,2.0,,1,,5,,4.0,,1,,1.0,,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1000.0,0.0,6.0,4.0,3.0,2.0,,,,,.,.,,.,.,,.,.,,,6,,6,,0,2.0,uuid:746d6660-5df4-4964-811e-42103e0db637,,,,,,,,,,,,,,,,29 Apr 2019,2019-04-29,,,,,,1.0,,,,445.0,,,0.0,,,,,,,,,,,,,,,2.0
0,4,208,,,,,,,,,,63.0,1,,729.0,2,20812.0,2018-04-12,uuid:9387d915-373b-4cd7-a716-568f03a2ecf4,2018-04-12 11:54:44,2018-04-12 12:40:07,"Apr 12, 2018",11:54:00 AM,,,,46.0,46.0,1.0,1.0,35.0,LUALUA,,,,12,,1.0,,Kananga,Bikuku,1.0,,4.0,,DEMBA,other,Gérant pour un dépôt,,,150000.0,30000.0,1 3 4 5,2.0,4.0,3.0,OK,1.0,0.0,0.0,0.0,OK,3.0,3.0,OK,2.0,2.0,11:54:46,11:54:46,5.0,4.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,8,,8.0,,8.0,,2,,3,,2.0,,2,,1.0,,2.0,3.0,2.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,500.0,500.0,7.0,5.0,4.0,3.0,0,,1.0,8.0,3,,0.0,.,.,0.0,.,.,9999,,1,.,1,.,0,1.0,uuid:9387d915-373b-4cd7-a716-568f03a2ecf4,,,,,,.,,,,2.0,,,,,,29 Apr 2019,2019-04-29,,,,,,1.0,63.0,,,,,,,,,,,,,,,,,,,,N.U.,0.0,0.0,2019-03-22,uuid:0b61c661-a30b-4450-bab2-fb1f69719ee3,2019-03-22 15:05:11,2019-03-22 15:40:04,"Mar 22, 2019",3:05:00 PM,20812.0,1.0,,,,,1.0,,,.,,,,,,,,,,,,,,,,,,,,,,,,OK,1.0,1.0,1.0,0.0,OK,1.0,1.0,OK,1.0,1.0,.,.,3.0,3.0,4.0,3.0,1.0,,,,,,,,.,,,,,,.,,.,,,,,,,,,,,,,,,1.0,1.0,2.0,800.0,200.0,8.0,5.0,2.0,1.0,,,,,.,.,,.,.,,.,.,,,1,,1,,0,2.0,uuid:0b61c661-a30b-4450-bab2-fb1f69719ee3,,,,,,,,,,,,,,,,29 Apr 2019,2019-04-29,,,,,,1.0,729.0,729.0,1129.0,,0.0,,,,,,,,,,,,,,,,,2.0
1,0,320,0.0,2.0,22.0,0.0,24.0,2.0,22.0,0.0,24.0,41.0,1,,6.0,1,,2018-04-09,uuid:fc3ae65c-859d-4d52-a1c0-cd5949329171,2018-04-09 15:52:19,2018-04-09 16:29:38,"Apr 9, 2018",3:52:00 PM,,,,12.0,12.0,1.0,1.0,26.0,LUALUA,,,,10,,1.0,,Katoka,Mpokolo,1.0,,4.0,,KAZUMBA,24,,,,15000.0,12000.0,1 3 6,4.0,3.0,2.0,OK,1.0,1.0,1.0,1.0,OK,1.0,1.0,OK,1.0,1.0,15:52:21,15:52:21,5.0,3.0,4.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,8,,2.0,,1.0,,1,,3,,1.0,,1,,0.0,4.0,1.0,3.0,4.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,200.0,800.0,9.0,5.0,4.0,3.0,0,,2.0,1.0,4,,0.0,.,.,0.0,.,.,6,,1,.,.,.,0,1.0,uuid:fc3ae65c-859d-4d52-a1c0-cd5949329171,,,,,,.,,,,1.0,,,,,,29 Apr 2019,2019-04-29,,,,,,1.0,41.0,,,,,,,,,,,,,,,,,,,,N.U.,0.0,0.0,2018-04-06,uuid:c56722b2-cea5-4175-86d5-de5fe95241ed,2018-04-06 10:08:42,,"Apr 6, 2018",10:08:00 AM,,,,9.0,9.0,1.0,1.0,25.0,LUNTU,,51.0,,3,,0.0,2015.0,Kananga,Plateau,1.0,,4.0,,DIMBELENGE,17,,,,16000.0,3000.0,3,1.0,3.0,6.0,OK,1.0,1.0,1.0,1.0,OK,2.0,3.0,OK,2.0,3.0,10:08:43,10:08:43,5.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1,,1.0,,1.0,,1,,1,,1.0,,1,,1.0,,3.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1000.0,0.0,8.0,7.0,6.0,5.0,0,,3.0,4.0,3,,0.0,.,.,0.0,.,.,9999,,1,.,4,.,0,1.0,uuid:c56722b2-cea5-4175-86d5-de5fe95241ed,,,,,,.,,,,1.0,,,,,,29 Apr 2019,2019-04-29,,,,,,1.0,6.0,,,,,,,,,,,,,,,,,,,,N.U.,0.0
1,1,108,1.0,5.0,18.0,0.0,23.0,2.5,9.0,0.0,11.5,,1,,56.0,1,,2018-04-26,uuid:5ea99866-881e-4d9c-bbb1-8abc8f30a138,2018-04-26 11:31:21,2018-04-26 11:57:46,"Apr 26, 2018",11:31:00 AM,,,,88.0,88.0,1.0,1.0,28.0,LULUWA,.,,Bena biduaya,1,,0.0,2005.0,Katoka,Mpokolo,1.0,,4.0,,KAZUMBA,17,,.,.,81000.0,50000.0,3 4 6,6.0,4.0,5.0,OK,1.0,1.0,0.0,1.0,OK,1.0,1.0,OK,1.0,1.0,11:31:22,11:31:22,3.0,3.0,4.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2,,2.0,,2.0,,2,,2,,2.0,,2,,0.0,4.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,500.0,500.0,6.0,5.0,3.0,2.0,0,,0.0,6.0,1,,0.0,,,0.0,,,6,,1,.,1,.,0,1.0,uuid:5ea99866-881e-4d9c-bbb1-8abc8f30a138,,,,,,,,,,1.0,,,,,,29 Apr 2019,2019-04-29,,,,,,1.0,74.0,,,,,,,,,,,,,,,,,,,,N.U.,0.0,0.0,2018-04-12,uuid:fff3a015-3067-40ab-b13b-c7798491c5d3,2018-04-12 09:12:15,2018-04-12 09:52:35,"Apr 12, 2018",9:12:00 AM,,,,66.0,66.0,1.0,1.0,26.0,LUALUA,,,,3,,1.0,,Kananga,Malandji,1.0,,4.0,,DIBAYA,0,,0,,10000.0,1000.0,3 4 5,1.0,4.0,4.0,OK,1.0,1.0,0.0,0.0,OK,1.0,1.0,OK,3.0,3.0,09:12:17,09:12:17,3.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2,,2.0,,8.0,,2,,2,,8.0,,2,,1.0,,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,700.0,300.0,10.0,7.0,6.0,4.0,0,,0.0,1.0,4,,0.0,.,.,0.0,.,.,9999,,1,.,1,.,0,1.0,uuid:fff3a015-3067-40ab-b13b-c7798491c5d3,,,,,,.,,,,1.0,,,,,,29 Apr 2019,2019-04-29,,,,,,1.0,56.0,,,,,,,,,,,,,,,,,,,,N.U.,0.0
1,1,113,1.0,7.0,16.0,0.0,23.0,3.5,8.0,0.0,11.5,,1,,58.0,1,,2018-04-13,uuid:8f434b3d-641d-4bbb-87de-7fd7917953c4,2018-04-13 12:38:20,2018-04-13 13:16:39,"Apr 13, 2018",12:38:00 PM,,,,80.0,80.0,1.0,1.0,46.0,LUALUA,,,,3,,0.0,2008.0,Kananga,Kamayi,1.0,,4.0,,DEMBA,18,,,,492000.0,8000.0,3,3.0,4.0,3.0,OK,1.0,1.0,0.0,1.0,OK,1.0,1.0,OK,1.0,1.0,12:38:21,12:38:21,5.0,5.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1,,1.0,,1.0,,1,,1,,1.0,,1,,0.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,2.0,2.0,3.0,100.0,900.0,10.0,2.0,1.0,0.0,other,Je ne travaille pas à la dgrkoc j'attends la réponse  de ma demande,0.0,0.0,other,Je ne travaille pas encore la bas,0.0,.,.,0.0,.,.,2,,1,.,1,.,0,1.0,uuid:8f434b3d-641d-4bbb-87de-7fd7917953c4,,,,,,.,,,,1.0,,,,,,29 Apr 2019,2019-04-29,,,,,,1.0,66.0,,,,,,,,,,,,,,,,,,,,N.U.,0.0,0.0,2018-04-12,uuid:d59ceed2-2c19-47a0-886d-0144d0fc3516,2018-04-12 09:52:58,2018-04-12 10:40:32,"Apr 12, 2018",9:53:00 AM,,,,65.0,65.0,1.0,1.0,29.0,LUALUA,,,,12,,1.0,,Kananga,Kami Athène,1.0,,4.0,,DIBAYA,9,,,,330000.0,14000.0,3 4,0.0,4.0,3.0,OK,1.0,1.0,0.0,1.0,OK,1.0,1.0,OK,1.0,1.0,09:53:00,09:53:00,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,2.0,,8.0,,2,,other,,2.0,,2,,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,1000.0,0.0,10.0,7.0,6.0,5.0,0,,0.0,0.0,4,,0.0,.,.,0.0,.,.,9999,,1,.,1,.,Il est sincère,1.0,uuid:d59ceed2-2c19-47a0-886d-0144d0fc3516,,,,,,.,,,,2.0,,,,,,29 Apr 2019,2019-04-29,,,,,,1.0,58.0,,,,,,,,,,,,,,,,,,,,N.U.,0.0
