a7,code,chef_type,area,pop,buff_dist,area_popw,rankarea,rankarea_popw,rankpop
100,1001.0,Coutumier,6.793879722000001e-06,157.0,20.0,3.417261976303185e-05,1.0,1.0,1.0
100,10185.0,Avenue,1.24402535e-07,2.0,20.0,1.2440253499999999e-07,3.0,3.0,2.0
100,10183.0,Localite,1.66331219e-07,2.0,20.0,1.66331219e-07,2.0,2.0,3.0
101,10183.0,Localite,3.3863596419999985e-06,72.0,20.0,1.0121793136e-05,1.0,1.0,1.0
101,10193.0,Avenue,1.431431114e-06,30.0,20.0,3.842852430057142e-06,2.0,4.0,2.0
101,1015.0,Avenue,1.228267612e-06,30.0,20.0,1.98063236125e-06,3.0,6.0,3.0
101,10184.0,Avenue (Past Loc),8.749528069999999e-07,22.0,20.0,5.774434163307689e-06,5.0,2.0,4.0
101,10186.0,Avenue,8.478904020000001e-07,21.0,20.0,5.542524627999998e-06,6.0,3.0,5.0
101,10192.0,Avenue,8.360941580000001e-07,21.0,20.0,2.1212545895172418e-06,7.0,5.0,6.0
101,10185.0,Avenue,8.930058109999998e-07,14.0,20.0,1.4456681589411759e-06,4.0,7.0,7.0
101,10188.0,Avenue,4.12972468e-07,10.0,20.0,9.309428929565219e-07,9.0,9.0,8.0
101,10189.0,Avenue,4.770723689999999e-07,7.0,20.0,9.811972977692307e-07,8.0,8.0,9.0
101,1001.0,Coutumier,5.354542599999999e-08,1.0,20.0,5.3545426000000004e-08,10.0,10.0,10.0
102,1025.0,Avenue,1.526807447e-06,32.0,20.0,4.309533789352942e-06,1.0,2.0,1.0
102,10248.0,Localite,9.361320880000001e-07,31.0,20.0,6.678068789642858e-06,2.0,1.0,2.0
102,11256.0,Avenue,4.73218635e-07,10.0,20.0,8.203880515714286e-07,4.0,3.0,3.0
102,10185.0,Avenue,6.168231790000001e-07,8.0,20.0,8.178756591290324e-07,3.0,4.0,4.0
102,1137.0,Avenue,1.74292267e-07,7.0,20.0,3.0402270420000005e-07,6.0,6.0,5.0
102,10183.0,Localite,3.767990370000001e-07,6.0,20.0,3.7679903700000004e-07,5.0,5.0,6.0
102,10186.0,Avenue,8.368940300000001e-08,2.0,20.0,8.368940300000001e-08,8.0,8.0,7.0
102,10184.0,Avenue (Past Loc),8.177589299999999e-08,2.0,20.0,8.1775893e-08,9.0,9.0,8.0
102,1015.0,Avenue,8.5289982e-08,0.0,20.0,8.528998199999998e-08,7.0,7.0,9.0
102,10192.0,Avenue,2.8077909e-08,0.0,20.0,2.8077909e-08,10.0,10.0,10.0
102,10546.0,Localite,4.399127e-09,0.0,20.0,4.399127e-09,11.0,11.0,11.0
103,10386.0,,5.952529979000001e-06,110.0,20.0,1.044826343891228e-05,1.0,1.0,1.0
103,10746.0,Avenue (Past Loc),1.4748183919999999e-06,27.0,20.0,2.1789576220344827e-06,2.0,2.0,2.0
