start,end,today,a7,a7b,who_chief,col_focus,chef_info_use,key,compound1,polymult,compound,pay_ease,willingness,convinced,key2,setofr,date,date_f,type,short_label,value_label,keep,labelFrançais,dup_code,compound1_carto,_erge,carto_complete,skipped_code,_merge,tot_complete_cc
2018-08-01 12:15:21,2018-08-01 15:27:27,2018-08-01,100.0,100,23,,,uuid:88a72011-1ba2-4697-ba06-e5c5f51d1174,100001.0,100000,1,0.0,,0,uuid:3971f79d-ed66-4caa-a182-527f3f9ee01a/R[1],uuid:3971f79d-ed66-4caa-a182-527f3f9ee01a/R,22 Feb 2019,2019-02-22,,,,,,0,176.0,3,,,1,1.0
2018-08-01 12:15:21,2018-08-01 15:27:27,2018-08-01,100.0,100,23,,,uuid:88a72011-1ba2-4697-ba06-e5c5f51d1174,100002.0,100000,2,2.0,,0,uuid:3971f79d-ed66-4caa-a182-527f3f9ee01a/R[2],uuid:3971f79d-ed66-4caa-a182-527f3f9ee01a/R,22 Feb 2019,2019-02-22,,,,,,0,,3,,,1,1.0
2018-08-01 12:15:21,2018-08-01 15:27:27,2018-08-01,100.0,100,23,,,uuid:88a72011-1ba2-4697-ba06-e5c5f51d1174,100003.0,100000,3,0.0,,0,uuid:3971f79d-ed66-4caa-a182-527f3f9ee01a/R[3],uuid:3971f79d-ed66-4caa-a182-527f3f9ee01a/R,22 Feb 2019,2019-02-22,,,,,,0,,3,,,1,1.0
2018-08-01 12:15:21,2018-08-01 15:27:27,2018-08-01,100.0,100,23,,,uuid:88a72011-1ba2-4697-ba06-e5c5f51d1174,100004.0,100000,4,0.0,,1,uuid:3971f79d-ed66-4caa-a182-527f3f9ee01a/R[4],uuid:3971f79d-ed66-4caa-a182-527f3f9ee01a/R,22 Feb 2019,2019-02-22,,,,,,0,,3,,,1,1.0
2018-08-01 12:15:21,2018-08-01 15:27:27,2018-08-01,100.0,100,23,,,uuid:88a72011-1ba2-4697-ba06-e5c5f51d1174,100005.0,100000,5,0.0,,0,uuid:3971f79d-ed66-4caa-a182-527f3f9ee01a/R[5],uuid:3971f79d-ed66-4caa-a182-527f3f9ee01a/R,22 Feb 2019,2019-02-22,,,,,,0,,3,,,1,1.0
2018-08-01 12:15:21,2018-08-01 15:27:27,2018-08-01,100.0,100,23,,,uuid:88a72011-1ba2-4697-ba06-e5c5f51d1174,100006.0,100000,6,,,0,uuid:3971f79d-ed66-4caa-a182-527f3f9ee01a/R[6],uuid:3971f79d-ed66-4caa-a182-527f3f9ee01a/R,22 Feb 2019,2019-02-22,,,,,,0,,3,,,1,1.0
2018-08-01 12:15:21,2018-08-01 15:27:27,2018-08-01,100.0,100,23,,,uuid:88a72011-1ba2-4697-ba06-e5c5f51d1174,100007.0,100000,7,0.0,,0,uuid:3971f79d-ed66-4caa-a182-527f3f9ee01a/R[7],uuid:3971f79d-ed66-4caa-a182-527f3f9ee01a/R,22 Feb 2019,2019-02-22,,,,,,0,,3,,,1,1.0
2018-08-01 12:15:21,2018-08-01 15:27:27,2018-08-01,100.0,100,23,,,uuid:88a72011-1ba2-4697-ba06-e5c5f51d1174,100008.0,100000,8,0.0,,0,uuid:3971f79d-ed66-4caa-a182-527f3f9ee01a/R[8],uuid:3971f79d-ed66-4caa-a182-527f3f9ee01a/R,22 Feb 2019,2019-02-22,,,,,,0,,3,,,1,1.0
2018-08-01 12:15:21,2018-08-01 15:27:27,2018-08-01,100.0,100,23,,,uuid:88a72011-1ba2-4697-ba06-e5c5f51d1174,100009.0,100000,9,0.0,,0,uuid:3971f79d-ed66-4caa-a182-527f3f9ee01a/R[9],uuid:3971f79d-ed66-4caa-a182-527f3f9ee01a/R,22 Feb 2019,2019-02-22,,,,,,0,,3,,,1,1.0
2018-08-01 12:15:21,2018-08-01 15:27:27,2018-08-01,100.0,100,23,,,uuid:88a72011-1ba2-4697-ba06-e5c5f51d1174,100010.0,100000,10,0.0,,0,uuid:3971f79d-ed66-4caa-a182-527f3f9ee01a/R[10],uuid:3971f79d-ed66-4caa-a182-527f3f9ee01a/R,22 Feb 2019,2019-02-22,,,,,,0,,3,,,1,1.0
2018-08-01 12:15:21,2018-08-01 15:27:27,2018-08-01,100.0,100,23,,,uuid:88a72011-1ba2-4697-ba06-e5c5f51d1174,100011.0,100000,11,0.0,,1,uuid:88a72011-1ba2-4697-ba06-e5c5f51d1174/R[1],uuid:88a72011-1ba2-4697-ba06-e5c5f51d1174/R,22 Feb 2019,2019-02-22,,,,,,0,,3,,,1,1.0
2018-08-01 12:15:21,2018-08-01 15:27:27,2018-08-01,100.0,100,23,,,uuid:88a72011-1ba2-4697-ba06-e5c5f51d1174,100012.0,100000,12,0.0,,1,uuid:88a72011-1ba2-4697-ba06-e5c5f51d1174/R[2],uuid:88a72011-1ba2-4697-ba06-e5c5f51d1174/R,22 Feb 2019,2019-02-22,,,,,,0,,3,,,1,1.0
2018-08-01 12:15:21,2018-08-01 15:27:27,2018-08-01,100.0,100,23,,,uuid:88a72011-1ba2-4697-ba06-e5c5f51d1174,100013.0,100000,13,0.0,,0,uuid:88a72011-1ba2-4697-ba06-e5c5f51d1174/R[3],uuid:88a72011-1ba2-4697-ba06-e5c5f51d1174/R,22 Feb 2019,2019-02-22,,,,,,0,,3,,,1,1.0
2018-08-01 12:15:21,2018-08-01 15:27:27,2018-08-01,100.0,100,23,,,uuid:88a72011-1ba2-4697-ba06-e5c5f51d1174,100014.0,100000,14,0.0,,1,uuid:88a72011-1ba2-4697-ba06-e5c5f51d1174/R[4],uuid:88a72011-1ba2-4697-ba06-e5c5f51d1174/R,22 Feb 2019,2019-02-22,,,,,,0,,3,,,1,1.0
2018-08-01 12:15:21,2018-08-01 15:27:27,2018-08-01,100.0,100,23,,,uuid:88a72011-1ba2-4697-ba06-e5c5f51d1174,100015.0,100000,15,0.0,,0,uuid:88a72011-1ba2-4697-ba06-e5c5f51d1174/R[5],uuid:88a72011-1ba2-4697-ba06-e5c5f51d1174/R,22 Feb 2019,2019-02-22,,,,,,0,,3,,,1,1.0
2018-08-01 12:15:21,2018-08-01 15:27:27,2018-08-01,100.0,100,23,,,uuid:88a72011-1ba2-4697-ba06-e5c5f51d1174,100016.0,100000,16,0.0,,0,uuid:88a72011-1ba2-4697-ba06-e5c5f51d1174/R[6],uuid:88a72011-1ba2-4697-ba06-e5c5f51d1174/R,22 Feb 2019,2019-02-22,,,,,,0,,3,,,1,1.0
2018-08-01 12:15:21,2018-08-01 15:27:27,2018-08-01,100.0,100,23,,,uuid:88a72011-1ba2-4697-ba06-e5c5f51d1174,100017.0,100000,17,0.0,,0,uuid:88a72011-1ba2-4697-ba06-e5c5f51d1174/R[7],uuid:88a72011-1ba2-4697-ba06-e5c5f51d1174/R,22 Feb 2019,2019-02-22,,,,,,0,,3,,,1,1.0
2018-08-01 12:15:21,2018-08-01 15:27:27,2018-08-01,100.0,100,23,,,uuid:88a72011-1ba2-4697-ba06-e5c5f51d1174,100018.0,100000,18,0.0,,0,uuid:88a72011-1ba2-4697-ba06-e5c5f51d1174/R[8],uuid:88a72011-1ba2-4697-ba06-e5c5f51d1174/R,22 Feb 2019,2019-02-22,,,,,,0,,3,,,1,1.0
