a7,code,person_need,person_know,person_job,person_edu,edu,job1,edu_knows,job_knows,edu_knows_orig,job_knows_orig,L_knows,L_knows_norm
596.0,596.0,3.0,1.0,17.0,2.0,,17.0,,1.6002363,,1.0,1.3005259,0.7800265
100.0,1001.0,1.0,1.0,0.0,2.0,3.0,,-0.71551174,,0.0,,-0.76380396,0.098355584
100.0,1002.0,,0.0,,,3.0,8.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
100.0,1004.0,2.0,1.0,25.0,,2.0,8.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
100.0,1005.0,1.0,1.0,8.0,2.0,2.0,8.0,1.3972776,1.6002363,1.0,1.0,1.0063869,0.6828976
101.0,1011.0,3.0,1.0,4.0,3.0,2.0,,-0.71551174,,0.0,,-0.76380396,0.098355584
101.0,1015.0,2.0,1.0,0.0,2.0,1.0,,-0.71551174,,0.0,,0.19648926,0.41545796
101.0,1016.0,2.0,1.0,0.0,2.0,1.0,0.0,-0.71551174,1.6002363,0.0,1.0,0.9594045,0.6673834
101.0,1017.0,3.0,1.0,23.0,2.0,2.0,0.0,1.3972776,-0.6247571,1.0,0.0,-0.0543822,0.3326167
102.0,1021.0,3.0,1.0,9.0,3.0,2.0,8.0,-0.71551174,-0.6247571,0.0,0.0,-0.10136469,0.3171024
102.0,1025.0,2.0,1.0,8.0,3.0,2.0,8.0,-0.71551174,1.6002363,0.0,1.0,0.9594045,0.6673834
102.0,1028.0,2.0,1.0,8.0,2.0,2.0,0.0,1.3972776,-0.6247571,1.0,0.0,-0.0543822,0.3326167
103.0,1031.0,2.0,1.0,6.0,3.0,3.0,6.0,1.3972776,1.6002363,1.0,1.0,1.96668,1.0
103.0,1033.0,1.0,1.0,0.0,2.0,3.0,4.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
103.0,1035.0,1.0,1.0,6.0,2.0,2.0,8.0,1.3972776,-0.6247571,1.0,0.0,-0.0543822,0.3326167
103.0,1036.0,,0.0,,,0.0,8.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
103.0,1038.0,,0.0,,,3.0,5.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
104.0,1042.0,3.0,1.0,4.0,4.0,4.0,27.0,1.3972776,-0.6247571,1.0,0.0,-0.0543822,0.3326167
104.0,1043.0,3.0,1.0,4.0,,3.0,14.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
104.0,1045.0,,0.0,,,3.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
104.0,1046.0,2.0,1.0,0.0,2.0,2.0,0.0,1.3972776,1.6002363,1.0,1.0,1.96668,1.0
104.0,1047.0,3.0,1.0,0.0,,2.0,0.0,-0.71551174,1.6002363,0.0,1.0,-0.00088872755,0.35028097
104.0,1048.0,3.0,1.0,4.0,,3.0,17.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
105.0,1052.0,2.0,1.0,8.0,2.0,2.0,8.0,1.3972776,1.6002363,1.0,1.0,1.96668,1.0
105.0,1053.0,2.0,1.0,14.0,4.0,4.0,27.0,1.3972776,-0.6247571,1.0,0.0,0.905911,0.64971906
105.0,1054.0,2.0,1.0,14.0,3.0,3.0,14.0,1.3972776,1.6002363,1.0,1.0,1.0063869,0.6828976
105.0,1055.0,3.0,1.0,14.0,3.0,3.0,4.0,1.3972776,-0.6247571,1.0,0.0,0.905911,0.64971906
105.0,1057.0,3.0,1.0,6.0,2.0,2.0,6.0,1.3972776,1.6002363,1.0,1.0,1.0063869,0.6828976
105.0,1058.0,2.0,1.0,14.0,3.0,3.0,23.0,1.3972776,-0.6247571,1.0,0.0,0.905911,0.64971906
106.0,1063.0,,0.0,,,3.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
106.0,1064.0,2.0,0.0,8.0,2.0,3.0,8.0,-0.71551174,1.6002363,0.0,1.0,-0.00088872755,0.35028097
106.0,1065.0,2.0,1.0,25.0,3.0,3.0,9.0,1.3972776,-0.6247571,1.0,0.0,-0.0543822,0.3326167
106.0,1066.0,3.0,1.0,1.0,3.0,3.0,17.0,1.3972776,-0.6247571,1.0,0.0,-0.0543822,0.3326167
106.0,1069.0,2.0,1.0,9.0,4.0,4.0,27.0,1.3972776,-0.6247571,1.0,0.0,0.905911,0.64971906
107.0,1072.0,3.0,1.0,11.0,3.0,3.0,4.0,1.3972776,-0.6247571,1.0,0.0,0.905911,0.64971906
107.0,1073.0,,0.0,,,3.0,25.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
107.0,1078.0,,0.0,,,3.0,9.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
108.0,1081.0,,0.0,,,1.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
108.0,1083.0,,0.0,,,4.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
108.0,1085.0,2.0,1.0,4.0,2.0,2.0,0.0,1.3972776,-0.6247571,1.0,0.0,0.905911,0.64971906
108.0,1086.0,3.0,1.0,17.0,3.0,2.0,17.0,-0.71551174,1.6002363,0.0,1.0,0.9594045,0.6673834
108.0,1087.0,4.0,1.0,24.0,2.0,2.0,0.0,1.3972776,-0.6247571,1.0,0.0,0.905911,0.64971906
108.0,1088.0,,0.0,,,3.0,22.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
109.0,1092.0,,0.0,,,2.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
109.0,1093.0,2.0,1.0,0.0,2.0,4.0,0.0,-0.71551174,1.6002363,0.0,1.0,0.9594045,0.6673834
109.0,1094.0,2.0,1.0,4.0,3.0,3.0,23.0,1.3972776,-0.6247571,1.0,0.0,0.905911,0.64971906
109.0,1096.0,3.0,1.0,6.0,3.0,3.0,25.0,1.3972776,-0.6247571,1.0,0.0,0.905911,0.64971906
109.0,1097.0,,0.0,,,3.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
109.0,1099.0,,0.0,,,3.0,,-0.71551174,1.6002363,0.0,1.0,-0.00088872755,0.35028097
110.0,1103.0,1.0,1.0,11.0,,3.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-0.10136469,0.3171024
110.0,1104.0,1.0,1.0,8.0,,3.0,8.0,-0.71551174,1.6002363,0.0,1.0,0.9594045,0.6673834
110.0,1106.0,3.0,1.0,0.0,,3.0,0.0,-0.71551174,1.6002363,0.0,1.0,0.9594045,0.6673834
110.0,1108.0,,0.0,,,3.0,14.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
111.0,1111.0,4.0,1.0,4.0,3.0,3.0,0.0,1.3972776,-0.6247571,1.0,0.0,-0.0543822,0.3326167
111.0,1112.0,2.0,1.0,6.0,3.0,3.0,6.0,1.3972776,1.6002363,1.0,1.0,1.96668,1.0
111.0,1116.0,2.0,1.0,0.0,3.0,3.0,0.0,1.3972776,1.6002363,1.0,1.0,1.96668,1.0
111.0,1117.0,2.0,1.0,4.0,,2.0,4.0,-0.71551174,1.6002363,0.0,1.0,0.9594045,0.6673834
111.0,1118.0,3.0,1.0,4.0,,3.0,,-0.71551174,,0.0,,-0.76380396,0.098355584
112.0,1122.0,2.0,1.0,4.0,,2.0,23.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
112.0,1123.0,2.0,1.0,0.0,3.0,2.0,0.0,-0.71551174,1.6002363,0.0,1.0,0.9594045,0.6673834
112.0,1124.0,2.0,1.0,8.0,3.0,3.0,8.0,1.3972776,1.6002363,1.0,1.0,1.96668,1.0
112.0,1125.0,2.0,1.0,0.0,3.0,3.0,23.0,1.3972776,-0.6247571,1.0,0.0,-0.0543822,0.3326167
112.0,1126.0,3.0,1.0,17.0,3.0,3.0,9.0,1.3972776,-0.6247571,1.0,0.0,0.905911,0.64971906
112.0,1127.0,4.0,1.0,17.0,4.0,4.0,17.0,1.3972776,1.6002363,1.0,1.0,1.0063869,0.6828976
112.0,1128.0,2.0,1.0,0.0,3.0,3.0,,1.3972776,,1.0,,1.2037649,0.74807465
113.0,1131.0,,0.0,,,1.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
113.0,1132.0,2.0,1.0,25.0,2.0,3.0,4.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
113.0,1134.0,2.0,0.0,6.0,3.0,2.0,6.0,-0.71551174,1.6002363,0.0,1.0,-0.00088872755,0.35028097
113.0,1137.0,2.0,0.0,11.0,3.0,3.0,11.0,1.3972776,1.6002363,1.0,1.0,1.0063869,0.6828976
113.0,1138.0,2.0,0.0,11.0,3.0,3.0,0.0,1.3972776,-0.6247571,1.0,0.0,-0.0543822,0.3326167
113.0,1139.0,3.0,1.0,17.0,3.0,3.0,17.0,1.3972776,1.6002363,1.0,1.0,1.96668,1.0
114.0,1141.0,1.0,1.0,0.0,,3.0,23.0,-0.71551174,-0.6247571,0.0,0.0,-0.10136469,0.3171024
114.0,1142.0,2.0,1.0,14.0,3.0,3.0,23.0,1.3972776,-0.6247571,1.0,0.0,0.905911,0.64971906
114.0,1146.0,1.0,1.0,0.0,,3.0,4.0,-0.71551174,-0.6247571,0.0,0.0,-0.10136469,0.3171024
114.0,1147.0,2.0,1.0,17.0,,3.0,17.0,-0.71551174,1.6002363,0.0,1.0,0.9594045,0.6673834
115.0,1155.0,2.0,1.0,4.0,2.0,3.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-0.10136469,0.3171024
115.0,1158.0,1.0,1.0,0.0,3.0,3.0,27.0,1.3972776,-0.6247571,1.0,0.0,0.905911,0.64971906
115.0,1159.0,2.0,0.0,18.0,4.0,3.0,18.0,-0.71551174,1.6002363,0.0,1.0,-0.00088872755,0.35028097
116.0,1161.0,2.0,1.0,4.0,2.0,3.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
116.0,1162.0,3.0,1.0,4.0,2.0,2.0,4.0,1.3972776,1.6002363,1.0,1.0,1.96668,1.0
116.0,1164.0,4.0,1.0,17.0,4.0,3.0,17.0,-0.71551174,1.6002363,0.0,1.0,0.9594045,0.6673834
116.0,1166.0,,0.0,,,3.0,17.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
116.0,1167.0,2.0,1.0,4.0,3.0,3.0,25.0,1.3972776,-0.6247571,1.0,0.0,-0.0543822,0.3326167
116.0,1168.0,,0.0,,,2.0,,-0.71551174,1.6002363,0.0,1.0,-0.00088872755,0.35028097
116.0,1169.0,2.0,1.0,8.0,2.0,2.0,0.0,1.3972776,-0.6247571,1.0,0.0,-0.0543822,0.3326167
117.0,1171.0,1.0,1.0,18.0,2.0,2.0,0.0,1.3972776,-0.6247571,1.0,0.0,0.905911,0.64971906
117.0,1172.0,3.0,1.0,28.0,3.0,3.0,17.0,1.3972776,-0.6247571,1.0,0.0,0.905911,0.64971906
117.0,1173.0,3.0,1.0,21.0,3.0,3.0,17.0,1.3972776,-0.6247571,1.0,0.0,0.905911,0.64971906
117.0,1174.0,1.0,1.0,0.0,,3.0,0.0,-0.71551174,1.6002363,0.0,1.0,0.9594045,0.6673834
117.0,1176.0,,0.0,,,3.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
118.0,1181.0,1.0,1.0,4.0,,2.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
118.0,1185.0,2.0,1.0,15.0,2.0,3.0,15.0,-0.71551174,1.6002363,0.0,1.0,0.9594045,0.6673834
118.0,1186.0,3.0,1.0,13.0,3.0,3.0,9.0,1.3972776,-0.6247571,1.0,0.0,-0.0543822,0.3326167
118.0,1187.0,1.0,1.0,0.0,,0.0,0.0,-0.71551174,1.6002363,0.0,1.0,-0.00088872755,0.35028097
118.0,1188.0,1.0,1.0,4.0,,3.0,14.0,-0.71551174,-0.6247571,0.0,0.0,-0.10136469,0.3171024
118.0,1189.0,2.0,1.0,8.0,,2.0,8.0,-0.71551174,1.6002363,0.0,1.0,0.9594045,0.6673834
119.0,1193.0,3.0,1.0,9.0,3.0,3.0,9.0,1.3972776,1.6002363,1.0,1.0,1.96668,1.0
119.0,1194.0,2.0,1.0,25.0,3.0,2.0,4.0,-0.71551174,-0.6247571,0.0,0.0,-0.10136469,0.3171024
119.0,1196.0,2.0,1.0,23.0,2.0,0.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-0.10136469,0.3171024
119.0,1197.0,,0.0,,,3.0,18.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
119.0,1198.0,3.0,1.0,4.0,3.0,3.0,4.0,1.3972776,1.6002363,1.0,1.0,1.96668,1.0
119.0,1199.0,2.0,1.0,9.0,4.0,4.0,0.0,1.3972776,-0.6247571,1.0,0.0,0.905911,0.64971906
120.0,1201.0,3.0,1.0,4.0,3.0,3.0,0.0,1.3972776,-0.6247571,1.0,0.0,0.905911,0.64971906
120.0,1202.0,2.0,1.0,4.0,2.0,2.0,4.0,1.3972776,1.6002363,1.0,1.0,1.96668,1.0
120.0,1204.0,2.0,1.0,12.0,3.0,3.0,4.0,1.3972776,-0.6247571,1.0,0.0,0.905911,0.64971906
120.0,1205.0,,0.0,,,2.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
120.0,1207.0,3.0,1.0,9.0,3.0,2.0,9.0,-0.71551174,1.6002363,0.0,1.0,0.9594045,0.6673834
120.0,1208.0,3.0,1.0,13.0,3.0,2.0,4.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
121.0,1212.0,2.0,1.0,14.0,2.0,3.0,8.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
