start,end,today,activity,chef_code,a7,a7b,chef_on_time,chef_late_min,chef_know1,chef_know2,chef_know3,chef_know4,chef_duty1,chef_duty2,chef_duty3,chef_duty4,chef_duty5,chef_duty6,chef_duty7,chef_duty8,chef_obed,chef_client,chef_obed2,coll_act_prior_vote,coll_act_prior_1,coll_act_prior_rel_1,coll_act_prior_2,coll_act_prior_rel_2,coll_act_prior_3,coll_act_prior_rel_3,coll_act_prior_4,coll_act_prior_rel_4,coll_act_prior_5,coll_act_prior_rel_5,coll_act_prior_6,coll_act_prior_rel_6,coll_act_prior_7,coll_act_prior_rel_7,coll_act_prior_8,coll_act_prior_rel_8,key,person1_need,person2_need,person3_need,person4_need,person5_need,person6_need,person7_need,person8_need,person9_need,person10_know,person10_showname,person10_realname,person10_job,person10_edu,person10_need,person11_need,person12_need,person13_need,person14_need,person15_need,coll_act_prior,coll_act_prior_rel,person1_know,person1_showname,person1_realname,person1_job,person1_edu,person2_know,person2_showname,person2_realname,person2_job,person2_edu,person3_know,person3_showname,person3_realname,person3_job,person3_edu,person4_know,person4_showname,person4_realname,person4_job,person4_edu,person5_know,person5_showname,person5_realname,person5_job,person5_edu,person6_know,person6_showname,person6_realname,person6_job,person6_edu,person7_know,person7_showname,person7_realname,person7_job,person7_edu,person8_know,person8_showname,person8_realname,person8_job,person8_edu,person9_know,person9_showname,person9_realname,person9_job,person9_edu,person11_know,person11_showname,person11_realname,person11_job,person11_edu,person12_know,person12_showname,person12_realname,person12_job,person12_edu,person13_know,person13_showname,person13_realname,person13_job,person13_edu,person14_know,person14_showname,person14_realname,person14_job,person14_edu,person15_know,person15_showname,person15_realname,person15_job,person15_edu
2019-08-12 22:42:13,2019-08-12 23:18:20,2019-08-12,4,10386,100,100,2,,2,9,5,7,0,0,1,0,3,3,0,1,1.0,4.0,-2,4,,,,,,,,,,,,,,,,,uuid:1cd2034c-3e51-4506-80c3-e51a6e701e07/G4-R2[1],1.0,,1.0,1.0,,1.0,,,2.0,1.0,,0.0,25.0,,2.0,,2.0,,,,,,1,,0.0,4.0,2.0,0,1.0,,,,1,,0.0,8.0,2.0,1,,0.0,8.0,,0,1.0,,,,1.0,,0.0,0.0,2.0,0.0,1.0,,,,0.0,1.0,,,,1.0,,0.0,18.0,3.0,0.0,1.0,,,,1.0,,0.0,8.0,2.0,,,,,,,,,,,,,,,
2019-07-22 09:16:25,2019-07-22 09:49:47,2019-07-22,4,10193,101,101,1,,7,3,3,10,1,1,2,1,3,2,1,1,4.0,4.0,-2,4,,,,,,,,,,,,,,,,,uuid:e94b78d6-1800-4bec-9281-869b6e521f52/G4-R2[1],,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,,1.0,8.0,2.0,2.0,2.0,2.0,,,,,,0,0.0,,,,1,,1.0,4.0,2.0,0,0.0,,7.0,2.0,1,,0.0,4.0,3.0,1,,1.0,0.0,2.0,1.0,,0.0,8.0,3.0,1.0,,0.0,23.0,2.0,1.0,,1.0,14.0,2.0,1.0,,1.0,23.0,2.0,1.0,,1.0,0.0,2.0,1.0,,1.0,17.0,3.0,,,,,,,,,,,,,,,
2019-07-08 23:14:58,2019-07-08 00:00:21,2019-07-08,4,1025,102,102,2,,5,7,4,9,0,0,0,0,3,3,3,1,3.0,1.0,2,0,,,,,,,,,,,,,,,,,uuid:c1265be0-5bba-4afb-8be5-4e525990d79b/G9-R2[1],2.0,3.0,3.0,2.0,3.0,4.0,,3.0,3.0,1.0,,1.0,8.0,3.0,2.0,2.0,3.0,,,,,,0,0.0,,4.0,0.0,1,,1.0,9.0,3.0,1,,1.0,13.0,3.0,1,,0.0,8.0,2.0,1,,0.0,8.0,2.0,1.0,,0.0,9.0,3.0,0.0,1.0,,,,0.0,0.0,,4.0,0.0,1.0,,0.0,15.0,3.0,1.0,,0.0,8.0,2.0,1.0,,0.0,25.0,,,,,,,,,,,,,,,,
2019-08-12 22:42:13,2019-08-12 23:18:20,2019-08-12,4,10386,103,103,2,,2,9,5,7,0,0,1,0,3,3,0,1,1.0,4.0,-2,4,,,,,,,,,,,,,,,,,uuid:1cd2034c-3e51-4506-80c3-e51a6e701e07/G4-R2[2],2.0,1.0,3.0,2.0,,,1.0,1.0,1.0,1.0,,0.0,18.0,3.0,3.0,3.0,,,,,,,1,,0.0,25.0,2.0,1,,0.0,8.0,2.0,1,,0.0,1.0,3.0,1,,1.0,6.0,3.0,0,1.0,,,,0.0,1.0,,,,1.0,,0.0,6.0,2.0,1.0,,0.0,8.0,2.0,1.0,,0.0,0.0,2.0,1.0,,0.0,15.0,3.0,0.0,1.0,,,,,,,,,,,,,,,,,,
2019-09-09 06:53:56,2019-09-09 07:09:10,2019-09-09,4,10248,104,104,1,,3,6,3,7,1,0,1,0,3,2,1,1,4.0,4.0,0,4,,,,,,,,,,,,,,,,,uuid:77d1ec1a-3b66-4e5f-8173-87016aff3e47/R2[1],,3.0,3.0,2.0,3.0,2.0,,,4.0,1.0,,0.0,4.0,,3.0,,,,,,,,0,1.0,,,,1,,0.0,4.0,,1,,0.0,4.0,4.0,1,,1.0,0.0,2.0,1,,0.0,0.0,,1.0,,0.0,0.0,,0.0,1.0,,,,0.0,1.0,,,,1.0,,1.0,9.0,3.0,0.0,1.0,,,,0.0,1.0,,,,,,,,,,,,,,,,,,
2019-09-02 09:05:04,2019-09-02 09:35:36,2019-09-02,4,10546,105,105,1,,3,2,10,8,3,2,2,0,2,2,1,0,1.0,2.0,-2,3,,,,,,,,,,,,,,,,,uuid:336e371f-3a88-4698-bbd5-3b42edc01f8f/R2[1],2.0,2.0,,2.0,2.0,2.0,2.0,3.0,3.0,1.0,,0.0,14.0,3.0,2.0,3.0,2.0,,,,,,1,,1.0,8.0,2.0,1,,0.0,14.0,3.0,0,1.0,,,,1,,0.0,0.0,3.0,1,,1.0,14.0,3.0,1.0,,0.0,6.0,3.0,1.0,,1.0,0.0,3.0,1.0,,1.0,14.0,3.0,1.0,,0.0,6.0,2.0,1.0,,0.0,4.0,3.0,1.0,,1.0,14.0,4.0,,,,,,,,,,,,,,,
2019-09-02 09:05:04,2019-09-02 09:35:36,2019-09-02,4,10546,106,106,1,,3,2,10,8,3,2,2,0,2,2,1,0,1.0,2.0,-2,3,,,,,,,,,,,,,,,,,uuid:336e371f-3a88-4698-bbd5-3b42edc01f8f/R2[2],,2.0,3.0,2.0,2.0,3.0,,2.0,,1.0,,0.0,13.0,3.0,3.0,2.0,2.0,,,,,,0,1.0,,,,1,,0.0,25.0,3.0,1,,0.0,1.0,3.0,1,,0.0,23.0,3.0,1,,0.0,23.0,3.0,1.0,,1.0,17.0,3.0,0.0,1.0,,,,1.0,,1.0,14.0,3.0,0.0,1.0,,,,0.0,0.0,,8.0,2.0,1.0,,1.0,9.0,4.0,,,,,,,,,,,,,,,
2019-07-22 00:10:17,2019-07-22 00:45:48,2019-07-22,4,10746,107,107,2,,4,9,5,10,2,3,2,0,3,3,1,1,4.0,1.0,2,4,,,,,,,,,,,,,,,,,uuid:7b1467f9-1ecc-49a8-96b3-0f2616619bb3/G4-R2[1],,2.0,2.0,3.0,2.0,2.0,,3.0,,1.0,,1.0,25.0,2.0,2.0,2.0,3.0,,,,,,0,1.0,,,,1,,1.0,4.0,3.0,1,,1.0,8.0,2.0,1,,1.0,11.0,3.0,1,,1.0,9.0,3.0,1.0,,0.0,4.0,2.0,0.0,1.0,,,,1.0,,0.0,4.0,3.0,0.0,1.0,,,,1.0,,0.0,1.0,4.0,1.0,,1.0,15.0,3.0,,,,,,,,,,,,,,,
2019-09-28 08:19:05,2019-10-07 17:07:49,2019-09-28,4,10984,108,108,1,,2,8,4,8,0,0,0,0,3,3,1,1,4.0,4.0,-2,4,,,,,,,,,,,,,,,,,uuid:c5a647fc-6ce2-4a96-8566-e9dec6b24947/R2[1],2.0,2.0,,4.0,,3.0,3.0,2.0,,0.0,1.0,,,,,,2.0,,,,,,1,,1.0,9.0,2.0,1,,1.0,0.0,2.0,0,1.0,,,,1,,1.0,24.0,2.0,0,1.0,,,,1.0,,1.0,17.0,3.0,1.0,,1.0,17.0,3.0,1.0,,1.0,21.0,0.0,0.0,1.0,,,,0.0,1.0,,,,1.0,,1.0,4.0,2.0,,,,,,,,,,,,,,,
2019-09-28 08:19:05,2019-10-07 17:07:49,2019-09-28,4,10984,109,109,1,,2,8,4,8,0,0,0,0,3,3,1,1,4.0,4.0,-2,4,,,,,,,,,,,,,,,,,uuid:c5a647fc-6ce2-4a96-8566-e9dec6b24947/R2[2],,,2.0,,,,3.0,,,1.0,,1.0,6.0,3.0,3.0,2.0,,,,,,,0,1.0,,,,0,1.0,,,,1,,1.0,0.0,2.0,0,1.0,,,,0,1.0,,,,0.0,1.0,,,,1.0,,1.0,23.0,2.0,0.0,1.0,,,,0.0,1.0,,,,1.0,,1.0,4.0,3.0,0.0,1.0,,,,,,,,,,,,,,,,,,
