a7,chef_tribe,chef_subtribe,chef_y36,col1_tribe,col1_subtribe,col1_y36,col2_tribe,col2_subtribe,col2_y36
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
100.0,,,,LUALUA,,LUIZA,LUALUA,,DEMBA
