y3,y7,tribe,born_kga,move_kga,inc_mo,inc_wk,possessions,y9,y10,read3,read4,read6,read7,red_poor,red_if,tax_who1,tax_who2,tax_who3,tax_who4,tax_who5,tax_who6,tax_who7,trust4,trust5,trust6,corr14_end,b1,b2,gov2_end,position,connection,colcode,math1,math2,math3,math4,extern4,_merge,female,age,age2,main_tribe,years_kga,educ_lvl,educ_yrs,c11,c12,c13,c14,maths_score,revread3,revread4,literacy_tsh,revread6,revread7,literacy_fr,possessions_nb,revtax_who1,revtax_who3,revtax_who6,index_taxwho,red_ngo,red_state,revred_if,red_prog,index_redistribution,revtrust4,revtrust5,revtrust6,index_trust,state_cap1,gov_resp,revcorr14_end,gov1_end,index_prov_gov,revb2,revb1,b3,index_morale,intrin1,intrin2,intrin3,index_intrinsic,extern1,extern2,extern3,index_extrinsic,job_heard_connection,fam_dgrkoc,fam_gov,index_connection,intrinsic_minus_extrinsic
1.0,34.0,LULUWA,1.0,,212.12121212121212,12.121212121212121,0,4.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,0.7,4.0,3,1.0,,,,,,1,0.0,34.0,1156.0,1.0,,4.0,18.0,1.0,1.0,0.0,1.0,0.046917908,3.0,3.0,-0.05997383,4.0,4.0,0.75788444,0.0,4.0,3.0,4.0,0.9138526,1.0,3.0,1.0,2.0,-1.6733651,3.0,3.0,3.0,-0.09507048,0.0,1.0,4.0,0.3,-1.1560977,4.0,3.0,0.0,0.091019616,,,,,,,,,0.0,0.0,0.0,-0.88890743,
1.0,22.0,SONGE,0.0,2005.0,48.484848484848484,60.60606060606061,3 4,4.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0,1.0,1.0,0.1,3.0,9999,2.0,,,,,,1,0.0,22.0,484.0,0.0,13.0,4.0,17.0,1.0,1.0,1.0,1.0,1.0570327,3.0,3.0,-0.05997383,4.0,4.0,0.75788444,2.0,4.0,4.0,4.0,1.4247779,3.0,3.0,1.0,2.0,-0.7282881,2.0,3.0,3.0,-0.44802895,1.0,1.0,4.0,0.9,0.43661293,4.0,3.0,,0.482099,,,,,,,,,0.0,0.0,0.0,-0.88890743,
1.0,23.0,LULUWA,0.0,1998.0,36.36363636363637,24.242424242424242,3 4,4.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.2,4.0,9999,3.0,,,,,,1,0.0,23.0,529.0,1.0,20.0,4.0,17.0,1.0,1.0,1.0,1.0,1.0570327,3.0,4.0,0.5672466,4.0,4.0,0.75788444,2.0,4.0,3.0,1.0,-0.73435664,4.0,3.0,1.0,1.0,-1.2711095,4.0,4.0,4.0,1.1039371,0.0,1.0,5.0,0.8,-0.17879339,4.0,3.0,,0.482099,,,,,,,,,0.0,0.0,1.0,0.30434754,
2.0,24.0,LULUWA,1.0,,9.696969696969697,3.0303030303030303,3,4.0,3.0,1.0,2.0,1.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,0.97,4.0,9999,4.0,,,,,,1,1.0,24.0,576.0,1.0,,4.0,18.0,1.0,1.0,0.0,1.0,0.046917908,4.0,3.0,0.56433606,4.0,4.0,0.75788444,1.0,3.0,3.0,3.0,-0.3730008,3.0,3.0,1.0,1.0,-1.7436479,4.0,4.0,4.0,1.1039371,1.0,1.0,4.0,0.03,-0.7106094,4.0,3.0,1.0,1.0687182,,,,,,,,,0.0,0.0,1.0,0.30434754,
1.0,37.0,LULUWA,1.0,,90.9090909090909,9.090909090909092,3,4.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,2.0,1.0,0.8,3.0,9999,5.0,,,,,,1,0.0,37.0,1369.0,1.0,,4.0,17.0,1.0,1.0,1.0,1.0,1.0570327,2.0,2.0,-1.3115042,3.0,2.0,-1.0684861,1.0,3.0,3.0,3.0,-0.3730008,4.0,3.0,1.0,2.0,-0.25574958,4.0,4.0,4.0,1.1039371,1.0,1.0,4.0,0.2,-0.4864395,4.0,2.0,1.0,0.16262238,,,,,,,,,0.0,0.0,0.0,-0.88890743,
1.0,25.0,LUNTU,0.0,2015.0,9.696969696969697,1.8181818181818181,3,3.0,6.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,9999,6.0,,,,,3.0,3,0.0,25.0,625.0,0.0,3.0,3.0,15.0,1.0,1.0,1.0,1.0,1.0570327,3.0,2.0,-0.6871943,3.0,2.0,-1.0684861,1.0,3.0,2.0,3.0,-0.8839262,5.0,3.0,1.0,1.0,-0.7985709,4.0,4.0,4.0,1.1039371,1.0,4.0,6.0,1.0,2.492068,4.0,3.0,1.0,1.0687182,4.0,5.0,4.0,1.0927029,3.0,3.0,1.0,-0.13875307,0.0,0.0,0.0,-0.88890743,1.0524637
1.0,36.0,LULUWA,1.0,,109.0909090909091,10.303030303030303,1,3.0,6.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.3,1.0,9999,7.0,,,,,,1,0.0,36.0,1296.0,1.0,,3.0,15.0,1.0,1.0,0.0,0.0,-1.0864509,4.0,3.0,0.56433606,4.0,4.0,0.75788444,1.0,3.0,4.0,4.0,0.6873277,3.0,3.0,1.0,2.0,-0.7282881,4.0,4.0,4.0,1.1039371,1.0,2.0,4.0,0.7,0.6020931,4.0,3.0,0.0,0.091019616,,,,,,,,,1.0,0.0,0.0,0.14494167,
1.0,32.0,LULUWA,1.0,,58.18181818181818,151.5151515151515,3 4,4.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,0.1,3.0,9999,8.0,,,,,3.0,3,0.0,32.0,1024.0,1.0,,4.0,18.0,1.0,0.0,0.0,1.0,-1.4259772,4.0,3.0,0.56433606,4.0,4.0,0.75788444,2.0,4.0,4.0,4.0,1.4247779,3.0,3.0,1.0,1.0,-1.7436479,2.0,3.0,3.0,-0.44802895,0.0,1.0,5.0,0.9,-0.046928782,3.0,2.0,0.0,-1.6232667,3.0,1.0,1.0,-1.9647226,3.0,1.0,2.0,-0.46505767,0.0,0.0,0.0,-0.88890743,-1.2816886
1.0,30.0,LULUWA,1.0,,60.60606060606061,30.303030303030305,4,4.0,5.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,0.2,3.0,2,9.0,,,,,1.0,3,0.0,30.0,900.0,1.0,,4.0,20.0,1.0,1.0,1.0,1.0,1.0570327,4.0,3.0,0.56433606,4.0,4.0,0.75788444,1.0,4.0,4.0,3.0,0.87537485,3.0,3.0,1.0,2.0,-0.7282881,3.0,2.0,2.0,-0.94111973,0.0,3.0,7.0,0.8,1.3155876,4.0,3.0,0.0,0.091019616,3.0,1.0,2.0,-1.6081245,3.0,1.0,2.0,-0.46505767,0.0,1.0,0.0,0.3237034,-0.97692204
1.0,24.0,LULUWA,1.0,,23.636363636363637,0.0,3,4.0,3.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,4.0,1.0,1.0,0.6,1.0,2,10.0,,,,,4.0,3,0.0,24.0,576.0,1.0,,4.0,18.0,1.0,1.0,0.0,0.0,-1.0864509,4.0,3.0,0.56433606,4.0,4.0,0.75788444,1.0,3.0,3.0,3.0,-0.3730008,3.0,4.0,1.0,2.0,-0.21064807,2.0,2.0,4.0,-0.3584784,0.0,4.0,4.0,0.4,0.26339525,4.0,3.0,1.0,1.0687182,3.0,5.0,2.0,-0.11093618,5.0,1.0,2.0,0.56103206,1.0,1.0,1.0,2.5508075,-0.5742976
