a7,transport_costs
100,32000.0
102,79500.0
103,42000.0
104,19200.0
105,60000.0
106,64400.0
107,23000.0
108,52000.0
109,70800.0
110,56000.0
111,59000.0
112,19000.0
113,54000.0
114,6000.0
115,45000.0
116,45000.0
117,43200.0
118,26000.0
119,5200.0
120,24200.0
121,27000.0
122,44800.0
123,40000.0
124,48600.0
125,57000.0
126,7000.0
204,29204.0
205,14000.0
206,28000.0
209,16000.0
211,25800.0
212,10400.0
213,44600.0
214,19200.0
215,3600.0
216,33600.0
217,13600.0
218,13000.0
219,14500.0
220,35500.0
221,38000.0
222,28500.0
223,24000.0
224,12800.0
225,8000.0
226,8600.0
227,42000.0
228,14000.0
229,14400.0
230,18000.0
231,32400.0
232,5400.0
233,44800.0
234,24800.0
235,28800.0
236,7500.0
237,18000.0
238,2800.0
239,14000.0
240,4200.0
241,19600.0
242,47400.0
243,27200.0
244,25200.0
245,12000.0
246,19200.0
300,48000.0
301,42200.0
302,53400.0
303,61200.0
304,31200.0
305,68000.0
306,15500.0
307,3500.0
308,32000.0
309,76000.0
310,28000.0
311,55800.0
312,24800.0
313,38800.0
314,4800.0
315,47500.0
316,12000.0
317,5400.0
318,53000.0
319,72600.0
321,40400.0
322,78200.0
323,23000.0
324,14200.0
325,61200.0
326,49000.0
327,25000.0
328,56000.0
329,48500.0
330,15000.0
331,50000.0
332,36400.0
333,9750.0
334,51500.0
335,9750.0
336,30000.0
337,40000.0
338,39600.0
339,18200.0
341,9600.0
342,44600.0
343,11200.0
344,16500.0
345,25500.0
346,7200.0
347,12600.0
348,27200.0
349,37600.0
350,11200.0
351,23200.0
352,38000.0
353,37000.0
354,18400.0
355,12000.0
356,12800.0
357,34000.0
358,52500.0
359,12000.0
360,30000.0
361,24000.0
362,70000.0
363,26000.0
364,17000.0
365,36000.0
366,30600.0
367,8000.0
368,53000.0
369,50800.0
370,20400.0
371,28000.0
372,25600.0
373,36000.0
374,58000.0
375,20000.0
376,40000.0
377,16000.0
378,32800.0
379,42000.0
380,22000.0
381,24800.0
382,2800.0
384,27200.0
385,13600.0
386,44800.0
387,15600.0
500,16000.0
501,43600.0
502,18000.0
503,17000.0
504,16600.0
505,49600.0
506,4000.0
507,15000.0
508,15000.0
509,32000.0
510,22400.0
511,8400.0
512,1400.0
513,20000.0
515,18000.0
516,7000.0
517,33600.0
518,21000.0
520,19200.0
521,32000.0
522,15000.0
523,21000.0
524,16000.0
525,6000.0
526,7800.0
527,28800.0
528,18000.0
529,48400.0
530,6000.0
531,10000.0
532,19600.0
533,2000.0
534,2000.0
535,16500.0
536,16800.0
537,36000.0
539,40000.0
541,28800.0
542,33500.0
543,50000.0
544,12000.0
545,4000.0
546,28200.0
547,47400.0
548,22400.0
549,16000.0
550,33600.0
551,43000.0
552,31600.0
553,2000.0
554,21600.0
555,25200.0
556,6000.0
557,53500.0
558,37500.0
559,15000.0
560,2000.0
561,40400.0
562,33600.0
563,4800.0
564,20000.0
565,33600.0
566,40500.0
567,14000.0
569,32000.0
570,56000.0
571,84000.0
572,4800.0
573,72000.0
574,2400.0
575,7400.0
576,64000.0
577,42500.0
578,57600.0
579,61200.0
580,13000.0
581,41600.0
582,36000.0
584,24800.0
585,9400.0
586,9400.0
588,15200.0
590,30000.0
591,42000.0
592,45000.0
593,12000.0
594,36000.0
595,15000.0
596,35000.0
597,91000.0
598,70500.0
599,61200.0
600,5000.0
601,11000.0
602,18800.0
603,50500.0
604,48000.0
605,54000.0
606,9000.0
607,52500.0
608,18000.0
611,46800.0
612,5000.0
613,10000.0
614,32000.0
615,10000.0
616,19500.0
617,6000.0
618,10000.0
619,16800.0
620,6000.0
621,38000.0
622,6000.0
623,16000.0
624,34400.0
625,36000.0
626,9800.0
627,43200.0
628,23400.0
629,36400.0
630,32000.0
631,40000.0
632,18000.0
633,22400.0
634,46400.0
635,27800.0
636,29600.0
637,42400.0
638,8000.0
639,34300.0
640,16800.0
641,36000.0
642,7000.0
643,36000.0
644,43400.0
645,9400.0
646,12800.0
647,25000.0
648,11200.0
649,45600.0
650,45600.0
651,30000.0
652,18000.0
653,42300.0
654,2000.0
655,46600.0
656,28800.0
657,20000.0
658,12800.0
660,13500.0
661,18800.0
662,30000.0
663,20000.0
664,2400.0
667,0.0
668,15600.0
669,3000.0
670,3000.0
671,5000.0
672,17000.0
673,17000.0
674,18000.0
675,13000.0
677,17250.0
678,6400.0
679,32000.0
680,41000.0
681,20000.0
682,20500.0
683,5000.0
685,18000.0
686,11700.0
687,1500.0
688,14000.0
689,26000.0
691,1500.0
692,5000.0
693,12000.0
694,3000.0
695,42800.0
696,12000.0
698,18000.0
699,37000.0
700,18000.0
701,11400.0
702,12000.0
703,13600.0
704,13600.0
6091,10000.0
6092,58500.0
6093,72000.0
6101,9000.0
6102,57800.0
6103,45000.0
6104,76000.0
