a7,treatment,month,chef_code,agent1_code,agent2_code,agent_code,chef_group,order_for_assigning
320.0,0.0,1.0,,,,,,1.0
101.0,0.0,2.0,,,,,,1.0
587.0,0.0,3.0,,,,,,1.0
676.0,0.0,4.0,,,,,,1.0
589.0,0.0,5.0,,,,,,1.0
349.0,1.0,1.0,,46.0,9.0,,,5.0
302.0,1.0,1.0,,46.0,9.0,,,5.0
209.0,1.0,1.0,,75.0,8.0,,,1.0
686.0,1.0,1.0,,75.0,8.0,,,1.0
629.0,1.0,1.0,,74.0,62.0,,,2.0
313.0,1.0,1.0,,74.0,62.0,,,2.0
561.0,1.0,1.0,,89.0,16.0,,,10.0
231.0,1.0,1.0,,89.0,16.0,,,10.0
504.0,1.0,1.0,,19.0,18.0,,,8.0
636.0,1.0,1.0,,19.0,18.0,,,8.0
517.0,1.0,1.0,,17.0,71.0,,,15.0
564.0,1.0,1.0,,17.0,71.0,,,15.0
545.0,1.0,1.0,,10.0,32.0,,,14.0
624.0,1.0,1.0,,10.0,32.0,,,14.0
241.0,1.0,1.0,,88.0,100.0,,,6.0
108.0,1.0,1.0,,88.0,100.0,,,6.0
552.0,1.0,1.0,,54.0,14.0,,,13.0
347.0,1.0,1.0,,54.0,14.0,,,13.0
599.0,1.0,1.0,,109.0,26.0,,,11.0
656.0,1.0,1.0,,109.0,26.0,,,11.0
300.0,1.0,1.0,,67.0,55.0,,,9.0
637.0,1.0,1.0,,67.0,55.0,,,9.0
693.0,1.0,1.0,,80.0,38.0,,,12.0
113.0,1.0,1.0,,80.0,38.0,,,12.0
688.0,1.0,1.0,,108.0,1.0,,,3.0
321.0,1.0,1.0,,108.0,1.0,,,3.0
308.0,1.0,1.0,,25.0,40.0,,,4.0
681.0,1.0,1.0,,25.0,40.0,,,4.0
368.0,1.0,1.0,,22.0,30.0,,,7.0
584.0,1.0,1.0,,22.0,30.0,,,7.0
233.0,1.0,3.0,,40.0,108.0,,,12.0
576.0,1.0,3.0,,40.0,108.0,,,12.0
216.0,1.0,3.0,,80.0,54.0,,,13.0
521.0,1.0,3.0,,80.0,54.0,,,13.0
221.0,1.0,3.0,,62.0,89.0,,,4.0
348.0,1.0,3.0,,55.0,22.0,,,5.0
236.0,1.0,3.0,,109.0,32.0,,,9.0
106.0,1.0,3.0,,109.0,32.0,,,9.0
611.0,1.0,3.0,,67.0,71.0,,,3.0
657.0,1.0,3.0,,67.0,71.0,,,3.0
573.0,1.0,3.0,,75.0,100.0,,,7.0
304.0,1.0,3.0,,75.0,100.0,,,7.0
542.0,1.0,3.0,,16.0,38.0,,,8.0
518.0,1.0,3.0,,16.0,38.0,,,8.0
206.0,1.0,3.0,,17.0,30.0,,,11.0
116.0,1.0,3.0,,17.0,30.0,,,11.0
245.0,1.0,3.0,,18.0,8.0,,,14.0
571.0,1.0,3.0,,18.0,8.0,,,14.0
689.0,1.0,3.0,,55.0,22.0,,,5.0
353.0,1.0,3.0,,62.0,89.0,,,4.0
117.0,1.0,3.0,,74.0,19.0,,,1.0
6093.0,1.0,3.0,,74.0,19.0,,,1.0
338.0,1.0,3.0,,14.0,1.0,,,15.0
646.0,1.0,3.0,,14.0,1.0,,,15.0
337.0,1.0,3.0,,25.0,88.0,,,10.0
360.0,1.0,3.0,,25.0,88.0,,,10.0
527.0,1.0,3.0,,26.0,10.0,,,2.0
562.0,1.0,3.0,,26.0,10.0,,,2.0
558.0,1.0,3.0,,9.0,46.0,,,6.0
366.0,1.0,3.0,,9.0,46.0,,,6.0
672.0,1.0,5.0,,22.0,19.0,,,1.0
594.0,1.0,5.0,,22.0,19.0,,,1.0
109.0,1.0,5.0,,8.0,25.0,,,10.0
546.0,1.0,5.0,,8.0,25.0,,,10.0
345.0,1.0,5.0,,26.0,67.0,,,2.0
325.0,1.0,5.0,,26.0,67.0,,,2.0
211.0,1.0,5.0,,30.0,74.0,,,7.0
