a7,rouge,geo_stratum,jontax,stratum_jon,commune,joncomp2016,salongo_freq,collect_ever,collect_what_1,chef_stratum,comp_stratum,stratum
100.0,0.0,1.0,0.0,3.0,1.0,1.0,4,0,0.0,1.0,1.0,1.0
101.0,0.0,1.0,0.0,3.0,1.0,1.0,5,0,0.0,2.0,1.0,1.0
102.0,0.0,1.0,0.0,1.0,1.0,1.0,2,0,0.0,1.0,1.0,1.0
103.0,0.0,1.0,0.0,1.0,1.0,1.0,1,0,0.0,,1.0,1.0
104.0,0.0,1.0,0.0,2.0,1.0,1.0,2,1,0.0,2.0,1.0,1.0
105.0,0.0,1.0,1.0,2.0,1.0,2.0,4,0,0.0,2.0,1.0,3.0
106.0,0.0,1.0,0.0,3.0,1.0,1.0,4,0,0.0,2.0,1.0,1.0
107.0,0.0,1.0,1.0,2.0,1.0,2.0,0,0,0.0,1.0,1.0,3.0
108.0,0.0,1.0,0.0,1.0,1.0,1.0,7,1,0.0,1.0,1.0,1.0
109.0,0.0,1.0,1.0,1.0,1.0,1.0,7,1,0.0,1.0,1.0,3.0
110.0,0.0,1.0,1.0,2.0,1.0,1.0,4,0,0.0,1.0,1.0,3.0
111.0,0.0,1.0,1.0,3.0,1.0,2.0,4,1,1.0,2.0,1.0,4.0
112.0,0.0,1.0,1.0,3.0,1.0,2.0,4,1,1.0,2.0,1.0,4.0
113.0,0.0,1.0,1.0,3.0,1.0,1.0,4,1,1.0,2.0,1.0,4.0
114.0,0.0,1.0,0.0,2.0,1.0,1.0,4,1,1.0,2.0,1.0,2.0
115.0,0.0,1.0,1.0,2.0,1.0,1.0,4,1,1.0,2.0,1.0,4.0
116.0,0.0,1.0,1.0,3.0,1.0,2.0,4,0,0.0,1.0,1.0,3.0
117.0,0.0,1.0,1.0,2.0,1.0,2.0,4,0,0.0,2.0,1.0,3.0
118.0,0.0,1.0,0.0,3.0,1.0,1.0,1,0,0.0,1.0,1.0,1.0
119.0,0.0,1.0,1.0,1.0,1.0,2.0,4,0,0.0,1.0,1.0,3.0
120.0,0.0,1.0,0.0,1.0,1.0,1.0,2,1,1.0,2.0,1.0,2.0
121.0,0.0,1.0,1.0,1.0,1.0,1.0,2,1,1.0,2.0,1.0,4.0
122.0,0.0,1.0,1.0,1.0,1.0,1.0,4,0,0.0,1.0,1.0,3.0
123.0,0.0,1.0,0.0,3.0,1.0,1.0,4,0,0.0,2.0,1.0,1.0
124.0,0.0,1.0,0.0,2.0,1.0,1.0,4,0,0.0,2.0,1.0,1.0
125.0,0.0,1.0,1.0,1.0,1.0,2.0,4,1,1.0,2.0,1.0,4.0
126.0,0.0,1.0,1.0,6.0,1.0,1.0,1,0,0.0,2.0,1.0,3.0
204.0,0.0,1.0,1.0,2.0,2.0,2.0,2,1,1.0,2.0,1.0,4.0
205.0,0.0,1.0,0.0,2.0,2.0,1.0,2,1,1.0,2.0,1.0,2.0
206.0,0.0,1.0,1.0,2.0,2.0,1.0,2,1,1.0,2.0,1.0,4.0
209.0,0.0,2.0,0.0,4.0,2.0,1.0,2,1,1.0,2.0,1.0,6.0
211.0,0.0,2.0,1.0,5.0,2.0,2.0,4,1,1.0,,1.0,8.0
212.0,0.0,2.0,1.0,5.0,2.0,2.0,4,0,0.0,2.0,1.0,7.0
213.0,0.0,2.0,0.0,6.0,2.0,1.0,4,0,0.0,2.0,1.0,5.0
214.0,0.0,2.0,0.0,6.0,2.0,1.0,4,0,0.0,,1.0,5.0
215.0,0.0,2.0,1.0,5.0,2.0,2.0,3,1,1.0,2.0,1.0,8.0
216.0,0.0,2.0,1.0,5.0,1.0,1.0,4,1,1.0,2.0,1.0,8.0
217.0,0.0,2.0,1.0,6.0,1.0,2.0,6,0,0.0,2.0,1.0,7.0
218.0,0.0,2.0,0.0,6.0,1.0,1.0,4,1,1.0,2.0,1.0,6.0
219.0,0.0,2.0,0.0,5.0,2.0,1.0,4,0,0.0,2.0,1.0,5.0
220.0,0.0,2.0,1.0,4.0,2.0,1.0,4,1,1.0,2.0,1.0,8.0
221.0,0.0,2.0,0.0,6.0,2.0,1.0,4,1,1.0,,1.0,6.0
222.0,0.0,2.0,1.0,4.0,2.0,1.0,4,1,1.0,2.0,1.0,8.0
223.0,0.0,2.0,1.0,6.0,1.0,2.0,4,1,1.0,2.0,1.0,8.0
224.0,0.0,2.0,0.0,5.0,1.0,1.0,4,0,0.0,,1.0,5.0
225.0,0.0,2.0,0.0,6.0,1.0,1.0,4,1,1.0,2.0,1.0,6.0
226.0,0.0,2.0,1.0,5.0,1.0,1.0,4,1,1.0,2.0,1.0,8.0
227.0,0.0,2.0,1.0,6.0,1.0,2.0,4,0,0.0,,1.0,7.0
228.0,0.0,2.0,1.0,4.0,1.0,1.0,4,0,0.0,,1.0,7.0
229.0,0.0,2.0,0.0,5.0,1.0,1.0,4,1,1.0,2.0,1.0,6.0
230.0,0.0,2.0,0.0,4.0,1.0,1.0,10,1,1.0,2.0,1.0,6.0
231.0,0.0,2.0,1.0,4.0,1.0,1.0,10,1,1.0,2.0,1.0,8.0
232.0,0.0,2.0,0.0,4.0,1.0,1.0,10,1,1.0,2.0,1.0,6.0
233.0,0.0,2.0,1.0,4.0,1.0,2.0,4,1,1.0,,1.0,8.0
234.0,0.0,2.0,0.0,5.0,1.0,1.0,5,0,0.0,2.0,1.0,5.0
235.0,0.0,2.0,1.0,5.0,1.0,2.0,4,0,0.0,1.0,1.0,7.0
236.0,0.0,2.0,1.0,6.0,5.0,2.0,3,0,0.0,2.0,1.0,7.0
237.0,0.0,5.0,0.0,5.0,2.0,1.0,4,0,0.0,1.0,1.0,18.0
238.0,0.0,5.0,1.0,6.0,2.0,2.0,4,0,0.0,2.0,1.0,20.0
239.0,0.0,2.0,1.0,5.0,2.0,2.0,4,0,0.0,1.0,1.0,7.0
240.0,0.0,2.0,1.0,5.0,2.0,2.0,4,1,1.0,1.0,1.0,8.0
241.0,0.0,2.0,1.0,4.0,2.0,1.0,4,1,1.0,2.0,1.0,8.0
242.0,0.0,4.0,1.0,6.0,2.0,1.0,4,1,1.0,2.0,1.0,15.0
243.0,0.0,4.0,0.0,29.0,2.0,1.0,4,0,0.0,2.0,1.0,12.0
244.0,0.0,4.0,1.0,28.0,2.0,1.0,4,1,1.0,,1.0,15.0
245.0,0.0,4.0,1.0,29.0,2.0,1.0,4,0,0.0,2.0,1.0,14.0
246.0,0.0,4.0,1.0,28.0,2.0,1.0,4,0,0.0,2.0,1.0,14.0
300.0,0.0,3.0,1.0,29.0,2.0,1.0,4,0,0.0,1.0,1.0,10.0
301.0,0.0,3.0,1.0,28.0,2.0,2.0,4,0,0.0,2.0,1.0,10.0
302.0,0.0,3.0,0.0,29.0,2.0,1.0,4,0,0.0,1.0,1.0,9.0
303.0,0.0,3.0,1.0,29.0,2.0,2.0,4,0,0.0,1.0,1.0,10.0
304.0,0.0,3.0,1.0,28.0,2.0,2.0,4,0,0.0,1.0,1.0,10.0
305.0,0.0,3.0,0.0,28.0,3.0,1.0,4,0,0.0,1.0,1.0,9.0
306.0,0.0,3.0,0.0,29.0,3.0,1.0,4,0,0.0,1.0,1.0,9.0
307.0,0.0,3.0,1.0,28.0,2.0,1.0,4,0,0.0,1.0,1.0,10.0
308.0,0.0,3.0,0.0,28.0,2.0,1.0,4,0,0.0,2.0,1.0,9.0
309.0,0.0,3.0,1.0,29.0,2.0,1.0,4,0,0.0,2.0,1.0,10.0
310.0,0.0,3.0,0.0,29.0,3.0,1.0,4,0,0.0,2.0,1.0,9.0
311.0,0.0,4.0,0.0,28.0,2.0,1.0,4,0,0.0,1.0,1.0,12.0
312.0,0.0,4.0,0.0,29.0,2.0,1.0,4,1,1.0,1.0,1.0,13.0
313.0,0.0,4.0,0.0,30.0,2.0,1.0,4,0,0.0,1.0,1.0,12.0
314.0,0.0,4.0,0.0,30.0,2.0,1.0,4,0,0.0,1.0,1.0,12.0
315.0,0.0,3.0,1.0,30.0,3.0,1.0,4,0,0.0,1.0,1.0,10.0
316.0,0.0,4.0,0.0,30.0,3.0,1.0,2,0,0.0,,1.0,12.0
317.0,0.0,4.0,1.0,30.0,3.0,1.0,4,0,0.0,1.0,1.0,14.0
318.0,0.0,4.0,1.0,29.0,3.0,2.0,2,0,0.0,,2.0,16.0
319.0,0.0,3.0,1.0,30.0,3.0,1.0,4,1,1.0,2.0,1.0,11.0
320.0,0.0,3.0,0.0,32.0,3.0,1.0,4,0,0.0,2.0,1.0,9.0
321.0,0.0,3.0,1.0,32.0,3.0,2.0,4,0,0.0,1.0,1.0,10.0
