a7,paid,amount,grid_nm,hh_final,poly_size,stratum,program,nganza,program_start,non_residential,num_compounds,compliance,revenue_per_person
100.0,0.0,0.0,1,184,3.0,3.0,0.0,0.0,,0.0,56,0.0,0.0
101.0,0.0,0.0,1,200,3.0,3.0,0.0,0.0,,0.0,149,0.0,0.0
102.0,0.0,0.0,1,68,1.0,1.0,0.0,0.0,,0.0,20,0.0,0.0
103.0,0.0,0.0,1,82,1.0,1.0,0.0,0.0,,0.0,57,0.0,0.0
104.0,0.0,0.0,1,170,2.0,2.0,0.0,0.0,,0.0,18,0.0,0.0
105.0,1.0,2000.0,1,175,2.0,2.0,1.0,0.0,2016-10-13,0.0,74,0.013513514,27.027027
106.0,0.0,0.0,1,211,3.0,3.0,0.0,0.0,,0.0,76,0.0,0.0
107.0,5.0,10000.0,1,136,2.0,2.0,1.0,0.0,2016-08-15,0.0,101,0.04950495,99.0099
108.0,0.0,0.0,1,96,1.0,1.0,0.0,0.0,,0.0,25,0.0,0.0
109.0,1.0,2000.0,1,102,1.0,1.0,1.0,0.0,2016-05-20,0.0,74,0.013513514,27.027027
110.0,3.0,4200.0,1,107,2.0,2.0,1.0,0.0,2016-09-21,0.0,60,0.05,70.0
111.0,12.0,24000.0,1,247,3.0,3.0,1.0,0.0,2016-04-28,0.0,150,0.08,160.0
112.0,28.0,56000.0,1,255,3.0,3.0,1.0,0.0,2016-05-26,0.0,161,0.17391305,347.82608
113.0,0.0,0.0,1,219,3.0,3.0,1.0,0.0,2016-08-27,0.0,100,0.0,0.0
114.0,0.0,0.0,1,141,2.0,2.0,0.0,0.0,,0.0,42,0.0,0.0
115.0,4.0,8000.0,1,155,2.0,2.0,1.0,0.0,2016-07-05,0.0,70,0.057142857,114.28571
116.0,12.0,24000.0,1,186,3.0,3.0,1.0,0.0,2016-09-16,0.0,97,0.12371134,247.42268
117.0,4.0,8000.0,1,124,2.0,2.0,1.0,0.0,2016-08-23,0.0,92,0.04347826,86.95652
118.0,0.0,0.0,1,203,3.0,3.0,0.0,0.0,,0.0,126,0.0,0.0
119.0,5.0,10000.0,1,87,1.0,1.0,1.0,0.0,2016-09-28,0.0,60,0.083333336,166.66667
120.0,0.0,0.0,1,101,1.0,1.0,0.0,0.0,,0.0,31,0.0,0.0
121.0,3.0,6000.0,1,74,1.0,1.0,1.0,0.0,2016-05-26,0.0,60,0.05,100.0
122.0,0.0,0.0,1,90,1.0,1.0,1.0,0.0,2016-07-06,0.0,19,0.0,0.0
123.0,0.0,0.0,1,194,3.0,3.0,0.0,0.0,,0.0,105,0.0,0.0
124.0,0.0,0.0,1,177,2.0,2.0,0.0,0.0,,0.0,143,0.0,0.0
125.0,2.0,4000.0,1,61,1.0,1.0,1.0,0.0,2016-06-10,0.0,24,0.083333336,166.66667
126.0,0.0,0.0,2,249,3.0,6.0,1.0,0.0,2016-10-13,0.0,163,0.0,0.0
200.0,3.0,6000.0,1,259,3.0,3.0,1.0,0.0,2016-07-11,0.0,153,0.019607844,39.215687
201.0,4.0,8000.0,1,88,1.0,1.0,1.0,0.0,2016-04-21,0.0,52,0.07692308,153.84616
202.0,5.0,10000.0,1,220,3.0,3.0,1.0,0.0,2016-06-06,0.0,90,0.055555556,111.111115
203.0,0.0,0.0,1,174,2.0,2.0,0.0,0.0,,0.0,15,0.0,0.0
204.0,4.0,8000.0,1,160,2.0,2.0,1.0,0.0,2016-07-01,0.0,53,0.0754717,150.94339
205.0,0.0,0.0,1,136,2.0,2.0,0.0,0.0,,0.0,71,0.0,0.0
206.0,0.0,0.0,1,109,2.0,2.0,1.0,0.0,2016-05-02,0.0,37,0.0,0.0
207.0,0.0,0.0,10,98,2.0,29.0,1.0,0.0,2016-07-15,0.0,130,0.0,0.0
208.0,11.0,22000.0,10,65,1.0,28.0,1.0,0.0,2016-10-18,0.0,73,0.15068494,301.36987
209.0,0.0,0.0,2,64,1.0,4.0,0.0,0.0,,0.0,28,0.0,0.0
210.0,16.0,29300.0,2,116,2.0,5.0,1.0,0.0,2016-11-07,0.0,50,0.32,586.0
211.0,13.0,39750.0,2,154,2.0,5.0,1.0,0.0,2016-06-06,0.0,92,0.14130434,432.06522
212.0,6.0,12000.0,2,115,2.0,5.0,1.0,0.0,2016-04-18,0.0,65,0.092307694,184.61539
213.0,1.0,2000.0,2,250,3.0,6.0,0.0,0.0,,0.0,87,0.011494253,22.988506
214.0,0.0,0.0,2,286,3.0,6.0,0.0,0.0,,0.0,105,0.0,0.0
215.0,14.0,28000.0,2,124,2.0,5.0,1.0,0.0,2016-10-28,0.0,76,0.18421052,368.42105
216.0,5.0,10000.0,2,193,2.0,5.0,1.0,0.0,2016-09-21,0.0,195,0.025641026,51.28205
217.0,5.0,12600.0,2,289,3.0,6.0,1.0,0.0,2016-07-07,0.0,113,0.044247787,111.504425
218.0,0.0,0.0,2,270,3.0,6.0,0.0,0.0,,0.0,52,0.0,0.0
219.0,0.0,0.0,2,172,2.0,5.0,0.0,0.0,,0.0,43,0.0,0.0
220.0,13.0,30600.0,2,114,1.0,4.0,1.0,0.0,2016-05-02,0.0,73,0.1780822,419.17807
221.0,0.0,0.0,2,209,3.0,6.0,0.0,0.0,,0.0,101,0.0,0.0
222.0,0.0,0.0,2,78,1.0,4.0,1.0,0.0,2016-08-04,0.0,98,0.0,0.0
223.0,4.0,8000.0,2,203,3.0,6.0,1.0,0.0,2016-06-20,0.0,89,0.04494382,89.88764
224.0,0.0,0.0,2,115,2.0,5.0,0.0,0.0,,0.0,48,0.0,0.0
225.0,0.0,0.0,2,229,3.0,6.0,0.0,0.0,,0.0,51,0.0,0.0
226.0,0.0,0.0,2,115,2.0,5.0,1.0,0.0,2016-07-20,0.0,38,0.0,0.0
227.0,6.0,12000.0,2,238,3.0,6.0,1.0,0.0,2016-10-13,0.0,108,0.055555556,111.111115
228.0,0.0,0.0,2,106,1.0,4.0,1.0,0.0,2016-11-12,0.0,62,0.0,0.0
229.0,0.0,0.0,2,180,2.0,5.0,0.0,0.0,,0.0,47,0.0,0.0
230.0,0.0,0.0,2,97,1.0,4.0,0.0,0.0,,0.0,72,0.0,0.0
231.0,1.0,2000.0,2,108,1.0,4.0,1.0,0.0,2016-11-12,0.0,44,0.022727273,45.454544
232.0,0.0,0.0,2,108,1.0,4.0,0.0,0.0,,0.0,72,0.0,0.0
233.0,11.0,22000.0,2,108,1.0,4.0,1.0,0.0,2016-07-02,0.0,73,0.15068494,301.36987
234.0,0.0,0.0,2,130,2.0,5.0,0.0,0.0,,0.0,30,0.0,0.0
235.0,1.0,2000.0,2,190,2.0,5.0,1.0,0.0,2016-08-12,0.0,114,0.00877193,17.54386
236.0,20.0,40000.0,2,259,3.0,6.0,1.0,0.0,2016-10-25,0.0,114,0.1754386,350.8772
237.0,0.0,0.0,2,166,2.0,5.0,0.0,0.0,,0.0,31,0.0,0.0
