compound1,DateRDV,MontantIF,Bonus,DatePaye,Exempte,NbrLoc,Exempté,Bonus2,Observations,Date,a7
588001.0,,3000 FC,900FC,,,,,,,,588
588002.0,,2500 FC,750FC,,,,,,,,588
588003.0,,1500 FC,750FC,,,,,,,,588
588004.0,,1500 FC,450FC,,,,,,,,588
588005.0,,1500 FC,450FC,,,,,,,,588
588006.0,,1500 FC,750FC,,,,,,,,588
588007.0,,2000 FC,600FC,,,,,,,,588
588008.0,,2500 FC,750FC,,,,,,,,588
588009.0,,2500 FC,,,Troisieme age,,,,,,588
588010.0,,2500 FC,750FC,,,,,,,,588
588011.0,,1500 FC,,,Veuve,,,,,,588
588012.0,,2000 FC,750FC,,,,,,,,588
588013.0,,2000 FC,600FC,,,,,,,,588
588014.0,,2500 FC,750FC,,,,,,,,588
588015.0,,8800 FC,2000FC,,,,,,,,588
588016.0,,3000 FC,900FC,,,,,,,,588
588017.0,,11000 FC,2000FC,,,,,,,,588
588018.0,,2500 FC,750FC,,,,,,,,588
588019.0,,3000 FC,,,Troisieme age,,,,,,588
588020.0,,3000 FC,,,Troisieme age,,,,,,588
588021.0,,2000 FC,,,Troisieme age,,,,,,588
588022.0,,1500 FC,750FC,,,,,,,,588
588023.0,,2500 FC,750FC,,,,,,,,588
588024.0,,11000 FC,2000FC,,,,,,,,588
588025.0,,8800 FC,2000FC,,,,,,,,588
588026.0,,2000 FC,750FC,,,,,,,,588
588027.0,27-Nov-18,3000 FC,750FC,,,,,,,,588
588028.0,,2500 FC,750FC,,,,,,,,588
588029.0,,1500 FC,750FC,,,,,,,,588
588030.0,,2000 FC,750FC,,,,,,,,588
588031.0,,8800 FC,2000FC,,,,,,,,588
588032.0,,2000 FC,750FC,,,,,,,,588
588033.0,,1500 FC,450FC,,,,,,,,588
588034.0,,1500 FC,750FC,,,,,,,,588
588035.0,,2000 FC,750FC,,,,,,,,588
588036.0,,1500 FC,750FC,,,,,,,,588
588037.0,,Payé,,  ,,,,,,,588
588038.0,,11000 FC,2000FC,,,,,,,,588
588039.0,,1500 FC,450FC,,,,,,,,588
588040.0,,1500 FC,750FC,,,,,,,,588
588041.0,,1500 FC,750FC,,,,,,,,588
588042.0,,2500 FC,750FC,,,,,,,,588
588043.0,,3000 FC,900FC,,,,,,,,588
588044.0,,2000 FC,600FC,,,,,,,,588
588045.0,,2000 FC,600FC,,,,,,,,588
588046.0,,1500 FC,450FC,,,,,,,,588
588047.0,,2000 FC,600FC,,,,,,,,588
588048.0,,1500 FC,750FC,,,,,,,,588
588049.0,,2000 FC,750FC,,,,,,,,588
588050.0,,2500 FC,750FC,,,,,,,,588
588051.0,,2500 FC,750FC,,,,,,,,588
588052.0,,3000 FC,750FC,,,,,,,,588
588053.0,,2000 FC,600FC,,,,,,,,588
588054.0,,2500 FC,750FC,,,,,,,,588
588055.0,,2500 FC,750FC,,,,,,,,588
588056.0,,8800 FC,2000FC,,,,,,,,588
588057.0,,3000 FC,900FC,,,,,,,,588
588058.0,,1500 FC,750FC,,,,,,,,588
588059.0,,3000 FC,900FC,,,,,,,,588
588060.0,,2000 FC,600FC,,,,,,,,588
588061.0,,8800 FC,2000FC,,,,,,,,588
588062.0,,1500 FC,450FC,,,,,,,,588
588063.0,,3000 FC,750FC,,,,,,,,588
588064.0,,3000 FC,900FC,,,,,,,,588
588065.0,,13200 FC,2000FC,,,,,,,,588
588066.0,,2500 FC,,,Veuve,,,,,,588
588067.0,,8800 FC,2000FC,,,,,,,,588
588068.0,,2000 FC,600FC,,,,,,,,588
588069.0,,13200 FC,2000FC,,,,,,,,588
588070.0,,6600 FC,2000FC,,,,,,,,588
588071.0,,11000 FC,2000FC,,,,,,,,588
588072.0,,3000 FC,900FC,,,,,,,,588
588073.0,,1500 FC,450FC,,,,,,,,588
588074.0,,3000 FC,,,Troisieme age,,,,,,588
588075.0,,2500 FC,750FC,,,,,,,,588
588076.0,,6600 FC,2000FC,,,,,,,,588
588077.0,,13200 FC,2000FC,,,,,,,,588
588078.0,,2000 FC,600FC,,,,,,,,588
588079.0,,2000 FC,600FC,,,,,,,,588
588080.0,,1500 FC,450FC,,,,,,,,588
588081.0,,13200 FC,2000FC,,,,,,,,588
588082.0,,6600 FC,2000FC,,,,,,,,588
588083.0,,2000 FC,600FC,,,,,,,,588
588084.0,,13200 FC,2000FC,,,,,,,,588
588085.0,,13200 FC,,,Troisieme age,,,,,,588
588086.0,,1500 FC,750FC,,,,,,,,588
588087.0,,11000 FC,2000FC,,,,,,,,588
588088.0,,3000 FC,900FC,,,,,,,,588
588089.0,,2000 FC,750FC,,,,,,,,588
588090.0,,6600 FC,2000FC,,,,,,,,588
588091.0,,3000 FC,750FC,,,,,,,,588
588092.0,,3000 FC,750FC,,,,,,,,588
238001.0,,6600 FC,2000FC,,,,,,,,238
238002.0,,1500 FC,750FC,,,,,,,,238
238003.0,,11000 FC,2000FC,,,,,,,,238
238004.0,,8800 FC,2000FC,,,,,,,,238
238005.0,,8800 FC,,,Troisieme age,,,,,,238
238006.0,,1500 FC,450FC,,,,,,,,238
238007.0,,2500 FC,750FC,,,,,,,,238
238008.0,,3000 FC,900FC,,,,,,,,238
238009.0,,2500 FC,750FC,,,,,,,,238
238010.0,,3000 FC,900FC,,,,,,,,238
238011.0,,2000 FC,,,Veuve,,,,,,238
238012.0,,13200 FC,,,Troisieme age,,,,,,238
238013.0,,2000 FC,600FC,,,,,,,,238
238014.0,,1500 FC,450FC,,,,,,,,238
238015.0,,13200 FC,2000FC,,,,,,,,238
238016.0,,8800 FC,2000FC,,,,,,,,238
238017.0,,11000 FC,2000FC,,,,,,,,238
238018.0,,3000 FC,,,Troisieme age,,,,,,238
238019.0,,2500 FC,750FC,,,,,,,,238
238020.0,,6600 FC,,,Troisieme age,,,,,,238
238021.0,,6600 FC,2000FC,,,,,,,,238
238022.0,,13200 FC,2000FC,,,,,,,,238
238023.0,,2500 FC,750FC,,,,,,,,238
238024.0,,3000 FC,900FC,,,,,,,,238
238025.0,,2500 FC,750FC,,,,,,,,238
238026.0,,1500 FC,750FC,,,,,,,,238
238027.0,,2500 FC,750FC,,,,,,,,238
238028.0,,2000 FC,750FC,,,,,,,,238
238029.0,,3000 FC,900FC,,,,,,,,238
238030.0,,11000 FC,2000FC,,,,,,,,238
238031.0,,6600 FC,2000FC,,,,,,,,238
238032.0,,8800 FC,2000FC,,,,,,,,238
238033.0,,2500 FC,,,Veuve,,,,,,238
238034.0,,2500 FC,750FC,,,,,,,,238
238035.0,,2000 FC,750FC,,,,,,,,238
238036.0,,8800 FC,2000FC,,,,,,,,238
238037.0,,8800 FC,2000FC,,,,,,,,238
238038.0,,8800 FC,2000FC,,,,,,,,238
238039.0,,2000 FC,,,Veuve,,,,,,238
238040.0,,2500 FC,750FC,,,,,,,,238
238041.0,,2500 FC,750FC,,,,,,,,238
238042.0,,13200 FC,2000FC,,,,,,,,238
238043.0,,2000 FC,600FC,,,,,,,,238
238044.0,,2500 FC,,,Troisieme age,,,,,,238
238045.0,5-Dec-18,1500 FC,450FC,,,,,,,,238
238046.0,,1500 FC,450FC,,,,,,,,238
238047.0,,8800 FC,2000FC,,,,,,,,238
238048.0,,8800 FC,,,Troisieme age,,,,,,238
238049.0,,2500 FC,,,Veuve,,,,,,238
238050.0,,13200 FC,2000FC,,,,,,,,238
238051.0,,8800 FC,2000FC,,,,,,,,238
238052.0,,1500 FC,,,Veuve,,,,,,238
238053.0,,3000 FC,750FC,,,,,,,,238
238054.0,,11000 FC,2000FC,,,,,,,,238
238055.0,,8800 FC,2000FC,,,,,,,,238
238056.0,,8800 FC,2000FC,,,,,,,,238
238057.0,,6600 FC,2000FC,,,,,,,,238
238058.0,,3000 FC,900FC,,,,,,,,238
238059.0,,8800 FC,2000FC,,,,,,,,238
238060.0,,2500 FC,750FC,,,,,,,,238
238061.0,,1500 FC,750FC,,,,,,,,238
238062.0,,3000 FC,,,Troisieme age,,,,,,238
238063.0,,2500 FC,750FC,,,,,,,,238
238064.0,,11000 FC,2000FC,,,,,,,,238
238065.0,,1500 FC,,,Veuve,,,,,,238
238066.0,,8800 FC,,  ,,,,,,,238
238067.0,,1500 FC,450FC,,,,,,,,238
238068.0,,1500 FC,750FC,,,,,,,,238
238069.0,,6600 FC,2000FC,,,,,,,,238
238070.0,,1500 FC,,,Pensionner Etat,,,,,,238
